,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_green_ddx_kurtosis,0.19049989434708253,0.1421581618433545,0.040329940858966365,0.09666778541353419,0.1967505099615763,0.5609956003016986,0.42576568619104654,-0.1578547229309742,0.15737432919982863,0.2840786922197677,-0.011634621459772206,-0.059310609518616844,-0.4928961506090433,0.12041417487769505,-0.04812969434357479,-0.019825437618100402,0.04647520672418434,0.031203332836810354,0.009033285148792822,-0.018745850014798383,0.008094609584169984
ppg_green_kurtosis,0.17403670918406045,0.31024873812706083,0.20487017617263686,0.09116522035824073,0.08731504692317876,0.0754590011658962,0.07453717958089727,0.3947657108895195,-0.3026984913315444,-0.40279133183146343,-0.5772064660405033,0.05734847353716001,-0.07091821181638051,0.10091356776186847,0.12570920696200044,0.14454970460282054,-0.008821399789069097,-0.0760559286267987,0.010867786300445959,0.007242972199490441,0.013917000379276559
ppg_green_diff_mean_abs,0.29215824032390264,-0.010828915751644646,0.0961414218394415,0.16330254903027733,-0.22959533118491146,-0.06136101393079432,0.006461428608652448,0.02282174060804761,0.27635554365345416,-0.24827099241589326,0.22134032017712718,-0.19857908466709262,0.010452143305881335,0.07535084995538618,0.14650272520259308,0.26857494146120575,0.7009348162596896,0.034007835731107855,0.03056614937272099,0.04801149632117226,-0.007034123567426373
ppg_green_std,0.31420102751248535,-0.05507649007049153,-0.1095793584320543,-0.029621223321854268,0.008328020995359791,-0.018069356790312033,-0.0268005679225788,0.05937968169635228,-0.10897350628549966,-0.0019280662197051583,0.08627700203163602,0.23421092554324094,-0.033195728014130475,-0.1105809006368387,0.03743877005349914,-0.04933566906110309,-0.06448118923916872,0.3887922572570706,0.7913044993177416,0.08477945214038346,0.026615317395645204
ppg_green_p99_p1,0.31359754897928577,0.09088925209393249,0.020832032741498575,-0.025784472907493527,0.0060023370285677904,-0.04843402576140304,-0.04174668693939306,0.11324034204789396,-0.05767571765114012,-0.12142361972793682,0.13304770852251732,0.10853710137946548,-0.06379261504596372,-0.08684152077069265,-0.2738257326631786,-0.2303771211867331,-0.025200198606653682,0.47738301417831364,-0.43080022751612906,0.12026844838008796,-0.5094591842985073
ppg_green_skew,0.16716549451263243,0.21785792518271965,0.1783734128271842,-0.18669052547749035,0.08580385363401231,-0.2682804103626798,-0.17223069958446113,-0.7566644402142377,0.13718356978111906,-0.143294601330325,-0.25536665605307396,0.16584043771326504,-0.13628404005549072,0.015529105409788746,0.05136807602085027,0.13246886783191233,-0.05775357317968674,0.030970974980205852,-0.012819654685869998,0.028722855132943103,-0.005382992287232867
ppg_green_shape_factor,0.27123169081279863,-0.02155079990243304,0.040447014992192054,-0.19795792993445901,0.03263687924528426,-0.16494050867939636,-0.16688037018058616,0.2048461078362112,0.04767869694190278,0.6601409887933103,-0.2506009645128145,-0.19707347117878923,0.10462086895017378,0.09453201493723401,0.21109719140850228,0.33118564728492,-0.02882087861438949,0.23329834063100627,-0.12636836838844376,-0.04467634384666831,0.003800366405849219
ppg_green_p95,-0.01256860570183185,0.30721327988210595,-0.5389872730326114,0.10323492417695831,-0.27504716970609394,-0.014461749502367553,0.008451495944791887,-0.037283513952626246,0.0669566768248631,0.10434218076597085,-0.08221271587245195,0.17359775403219618,0.02906412724439358,0.17118498036467833,0.1558556389048782,0.05046838130184293,0.004232637757944221,-0.23613643213197452,0.11201852317049277,-0.26799815092519685,-0.5268525218324943
ppg_green_dx_mean,-0.018059884356184178,0.010880256197195624,0.16183347895635186,-0.3929538654348652,-0.5075060111935015,0.5950423318960377,-0.44109209431855806,-0.023289902314576266,-0.08085256018958016,-0.031265020553770916,-0.0014807209204799904,0.04849643139086544,-0.025240110512577095,-0.029343492914939533,-0.00246022276829271,0.026199075975494143,-0.002712342161660033,-0.011489406090219444,-0.0022816254909640826,0.0018942623829866097,0.0016799532640297708
ppg_green_mean_cross_rate,0.006949886522569795,-0.008116631730628177,0.3922881965446973,0.5104073124095238,-0.5137063873601719,-0.14340766491867643,0.15376215386837913,-0.17678028541417673,-0.36062055160965234,0.30694351322945934,-0.02574347069709179,0.1123131132193303,-0.0056557140095550755,-0.05223353435690187,-0.05237198441464744,-0.048660977036896286,-0.026395195101110176,0.001823638499846398,2.649236522845985e-05,0.0027550153770709625,-0.002992311303371394
ppg_green_ddx_mean,0.0013175840477779072,-0.051865287444037816,0.030450653987393748,-0.5989224534863231,-0.35066128597921603,-0.19976385177109685,0.6824623853934652,0.03193346026454318,-0.013068069719755741,-0.06967378274230926,-0.0334915561071717,-0.0026875652433761576,0.03189780559124044,-0.02498013527827303,0.005148926858160361,-0.0038237387885866935,-0.012420289716670118,0.0017784088136491986,-0.004222657908589905,-0.00356414388373006,0.002152515843626145
