,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
ppg_red_trim_mean_10,0.002437879446610117,0.010846805365888704,-0.045887059433637446,0.6307384444928863,0.1382029972961563,-0.07551521440928835,0.09653586348963791,0.04000285000171373,0.2930815469893445,0.048400563629297004,-0.5970289105840847,0.03430593153583648,0.0769709081277428,0.03399432187169557,0.012753268876276614,0.05430906472530452,-0.07425839905402623,-0.007088419137632133,-0.11491857258591241,-0.028896854456336312,0.2973128852208909,0.0021964891593481877,-0.012651516943401449
ppg_red_crest_factor,0.025000378586069637,0.39266949783329713,-0.052349504452219246,-0.024493275270489334,0.06019059158567726,-0.023553217962485964,0.04423210040712095,-0.011401497516743526,0.10574627484324159,-0.5102740661230805,0.02655591457958839,-0.0934902949710481,-0.09573924689525416,0.5028309399682567,-0.44970568047679726,-0.10839470751733597,-0.10987880858122787,0.023331818187239426,-0.07474234871016262,0.05170001696717568,-0.015454908755759092,-0.23651785254961774,0.039082186457775434
ppg_red_shape_factor,0.01959900192986488,0.41293638644967834,0.02547757361313153,0.0029820624237222,0.06981121433142175,0.22010459431574228,0.006301880005405989,0.10214356509217089,0.07611781919077258,0.04275175190492196,0.008070829470740106,0.0915958994234253,-0.06964797005679275,-0.6006670334476837,-0.013886675142461993,-0.39518544074209494,-0.3426687016565387,0.04852971894675286,0.04046390881745937,-0.05551223876333535,0.0021848355162698745,-0.31886147376466006,0.01956424320997329
ppg_red_impulse_factor,0.025098171574618265,0.4410365832663902,0.016435271062359844,-0.003694237770151987,0.043058987299174616,0.1715512948998565,0.007960359744136032,0.034300900376236815,0.05659941323294453,-0.1361415505301951,0.02261048099620564,0.013463240077833253,-0.03083169277575518,-0.03856582110254465,0.05208186210055815,0.07541388146969538,-0.07864982476405455,0.11973526788622521,0.04042074790091021,-0.16176563869735266,-0.008821617233510461,0.8281844105386188,-0.06700359416090919
ppg_red_clearance_factor,0.015488743904774541,0.3248227284451728,0.06726154454490335,0.014161169214718515,-0.0004385403728297708,0.37514008449734004,-0.032005054863106716,0.06017862251213933,-0.037619033317664634,0.7401914165390725,0.012176254312484362,-0.0545309100675251,-0.06771249758823202,0.39730280897166836,-0.09906572445467725,0.020175413901345394,0.08704315941979723,-0.03232778446658613,-0.02684064472366953,0.04973212246947225,0.002419931791356324,-0.08499691678074192,0.005288233364996854
ppg_red_mean_cross_rate,-0.038289071413521024,0.060794669872389615,-0.6467824887993024,-0.0666535469457802,0.05310872719641962,-0.08706367722376614,0.07159298538334244,-0.2087986318154261,-0.011619974139239061,0.05883118388915225,0.03591227314270809,0.08255068578110895,0.08521016845501114,0.28749424240827604,0.5013252000622394,-0.3517693062963085,-0.17775962313320545,0.059088457688286446,0.004087006924878474,-0.02753637450512322,0.006718812533633272,0.0003506499290549104,0.018754311969338248
ppg_red_tke_mean,0.31555214756796457,0.018677713972441067,-0.1409719248128262,-0.0006728099741242022,-0.09221676566255034,-0.13585159772704852,-0.08617577132105292,0.4325673219486006,-0.04705628550765921,0.024871697248522496,0.013682446135517527,0.1095452913278137,-0.015341953209595104,0.036598476389755004,0.013825973590992637,0.09584945731878265,-0.09308218040428999,-0.35337206972699775,-0.13060177768224496,-0.35658162595005555,-0.09858093342673487,0.021250491865854662,0.5872116800705142
ppg_red_tke_std,0.27837445405268657,0.06123275796755128,-0.11488372341600284,-0.0001623426605456737,-0.11754636423872955,-0.274641127946802,-0.09664483598174138,0.542020235791376,-0.054853224213749815,0.06399420395777748,0.019281698115101616,0.10922154621749124,0.052336188902953246,0.0135015522560282,0.00185485085201268,-0.03625666621382904,0.13184649583165775,0.5530016166467305,-0.20310085045148984,0.10665107552052579,-0.05309642295166898,-0.043518912272993114,-0.33017028970532314
ppg_red_dx_mean,0.0033482661410360777,0.005810006645680857,-0.031158478615779278,0.00803916374378635,0.3626128306365887,-0.06702691203833164,-0.9127445000579745,-0.1221868496695081,0.11705566659638834,0.010182139814592385,0.00859298036518415,-0.003608058830321591,0.02687927491070748,0.0016722764441826875,-0.014461669457355471,-0.0006672365890283988,0.003429564294210318,0.005914866526689663,0.0038601960393812884,-0.003524408944209188,0.0015447424130239952,0.00060765052412229,0.0015711231448796608
ppg_red_ddx_mean,0.003766746084750455,0.013726533702282367,0.03173878709024182,-0.4510474190193788,-0.4587306786168816,-0.06468519782612919,-0.08251913220871983,-0.06550639886078902,0.711758102495894,0.07981472270058677,-0.23174240965670986,0.00459354914936117,0.048840267300827855,0.0020801879275445835,0.017986349098159014,0.0007702856367205685,0.006301182361978191,-0.008021324035150615,0.004096416676835674,-0.00786507725906827,0.0017566011068904984,0.002585646246203257,0.0050865438745885195
