,ppg_green_mean,ppg_green_std,ppg_green_min,ppg_green_max,ppg_green_range,ppg_green_median,ppg_green_iqr,ppg_green_mad,ppg_green_skew,ppg_green_kurtosis,ppg_green_diff_mean,ppg_green_diff_std,ppg_green_diff_mean_abs,ppg_green_diff_rms,ppg_green_signal_rms,ppg_green_signal_energy,ppg_green_p1,ppg_green_p5,ppg_green_p10,ppg_green_p90,ppg_green_p95,ppg_green_p99,ppg_green_p90_p10,ppg_green_p95_p5,ppg_green_p99_p1,ppg_green_trim_mean_10,ppg_green_mean_abs,ppg_green_rms,ppg_green_crest_factor,ppg_green_shape_factor,ppg_green_impulse_factor,ppg_green_clearance_factor,ppg_green_mean_cross_rate,ppg_green_tke_mean,ppg_green_tke_std,ppg_green_tke_mean_abs,ppg_green_tke_p95_abs,ppg_green_dx_mean,ppg_green_dx_std,ppg_green_ddx_mean,ppg_green_ddx_std,ppg_green_dx_kurtosis,ppg_green_ddx_kurtosis
ppg_green_diff_mean_abs,0.27538225801633354,0.8774993982901947,0.4633912226752585,0.34028155752986866,0.9216327270353262,0.3066642367346839,0.5964401981954259,0.6027774158472752,0.3516975357062071,0.39991384239111377,0.10073745007020615,0.858603908226709,0.0,0.8588984959730199,0.2437342966398134,0.23761204170854727,0.45917437096135827,0.4364628163444285,0.41722319944033803,0.09688958598604867,0.06889844118232114,0.3273435648153658,0.7303912100779599,0.837208444810915,0.9170759467130959,0.2996592990633518,0.27538225801633365,0.2437342966398134,0.866071480728352,0.7333178981238087,0.8538856431997207,0.848958345025782,0.16170605031291096,0.7021916607790454,0.6832995512199773,0.7021916607790454,0.8734396841177093,0.10073745007020615,0.858603908226709,0.0014152225411783468,0.812022651109321,0.5514172022874014,0.4199826694788382
ppg_green_diff_rms,0.07948885691637761,0.8156185782298428,0.2297216835153058,0.5585695989554206,0.9018283484534955,0.122793856776834,0.35294007484102147,0.3472304361286667,0.44895910529358385,0.5214781291625685,0.11715587997973015,0.9999804579488063,0.8588984959730199,0.0,0.04256611415336517,0.037952964088676405,0.22668195257480978,0.2063546936295957,0.19260822920937767,0.05022030267919098,0.24264910792229166,0.549573365928201,0.5155447173099776,0.7038039780851237,0.9023670715070726,0.11235290788968898,0.07948885691637761,0.04256611415336517,0.8656163422538634,0.777762724749726,0.8677964192034531,0.8662277630771588,0.04646757734304405,0.9501614479543907,0.9450082162578443,0.9501614479543907,0.5822463152759653,0.11715587997973015,0.9999804579488063,0.003655389439793594,0.9951639078371213,0.6793738018456527,0.4133206014656855
ppg_green_signal_rms,0.9991074556363521,0.2338850231350045,0.9524577608612539,0.7845094177095354,0.20084034176047613,0.9927305533792252,0.32707734113304315,0.32341814655670237,0.11025316556133019,0.009482871972567888,0.010842395587689627,0.04162686926864525,0.2437342966398134,0.04256611415336517,0.0,0.9927167568930844,0.9542062530855577,0.9626130186383661,0.969714583190457,0.9647507928995632,0.9191039083391582,0.7920663472663483,0.3082944738197595,0.2762205025974937,0.19946263194110472,0.9971454721633516,0.9991074556363521,1.0,0.3014733453332935,0.2164246248669949,0.2829084041761368,0.2774747864163424,0.1359412173916073,0.03272051070661983,0.04013388482950906,0.03272051070661983,0.3224929264648423,0.010842395587689622,0.041626869268645235,0.06057729375754304,0.0020508847257133377,0.013814967662156024,0.0678033086187556
ppg_green_signal_energy,0.9915911281017776,0.23069490497903478,0.946963089005492,0.7825072802901485,0.1968016592566491,0.9841424353188272,0.32629214912445786,0.3229547904881578,0.09289193389532553,0.0035443339422687467,0.008849997094512656,0.03698333966127825,0.23761204170854727,0.037952964088676405,0.9927167568930844,0.0,0.948627261460178,0.9563630629300541,0.9631489641141143,0.9592807578708344,0.9143387681065241,0.7892910842568874,0.3042121528042509,0.2726644120371138,0.19614576269620912,0.9895182264334096,0.9915911281017779,0.9927167568930846,0.282181814644969,0.20218469114273013,0.26505371579540876,0.2600114252273053,0.1429569143772163,0.03326440843238541,0.040439324099170344,0.03326440843238541,0.3161600610920925,0.008849997094512644,0.03698333966127825,0.054434783778303956,0.00664760630848159,0.01770596791071873,0.05984895563783103
ppg_green_p1,0.961548636756921,0.4820799078205034,0.999890331182376,0.6225135437462384,0.4403016462169919,0.9556093665032412,0.5338792928102991,0.518707546907511,0.09901432588087375,0.09162254804727989,0.041618393146353884,0.22507622436572552,0.45917437096135827,0.22668195257480978,0.9542062530855577,0.948627261460178,0.0,0.9983353553496825,0.9946590352702709,0.8690927967721555,0.794461134944632,0.6316327532866487,0.5425411184053208,0.5192080951908279,0.43901929734673883,0.9638482191718436,0.961548636756921,0.9542062530855577,0.4749905511356018,0.38224362632824704,0.4545556329846509,0.4486126876923649,0.09063265732987566,0.11658452428550858,0.10627993635905779,0.11658452428550858,0.5120371383438275,0.04161839314635386,0.22507622436572552,0.0511844197840668,0.16940123052930864,0.11505579181688567,0.19113698497117543
ppg_green_p5,0.9694150646503499,0.4635505812178435,0.9977777966453499,0.6407898873233744,0.4170130532672714,0.9636425119878409,0.525504529106297,0.5091593175450163,0.10695737481721236,0.06854098927586559,0.04058828850336238,0.20477983949972903,0.4364628163444285,0.2063546936295957,0.9626130186383661,0.9563630629300541,0.9983353553496825,0.0,0.9982616226097469,0.8797373665192184,0.8076518756695283,0.6499679086717349,0.5304232007373807,0.5026775542657964,0.4158208596810183,0.9713820227565783,0.9694150646503498,0.9626130186383661,0.4614548220145646,0.3742675449234366,0.4417167955274668,0.43608796931740273,0.08943294244822368,0.09912853857850529,0.08881400394622825,0.09912853857850529,0.4931737968304994,0.04058828850336243,0.20477983949972905,0.055927158461426554,0.1504106048810994,0.09976369787947116,0.17583568223118576
ppg_green_p10,0.9761804525888741,0.4461350683976495,0.9938422795258923,0.6544440318705218,0.39690143027795916,0.9711862579677953,0.5146026932046354,0.4973542934655294,0.12250860573590237,0.0518897267067642,0.03934141481351019,0.19109395163645654,0.41722319944033803,0.19260822920937767,0.969714583190457,0.9631489641141143,0.9946590352702709,0.9982616226097469,0.0,0.8898572996232172,0.8189940653545035,0.6635141812416185,0.5152140967733962,0.48311707783247737,0.39581663926489424,0.9781908257092642,0.9761804525888741,0.9697145831904573,0.45297146615586864,0.37000859347852755,0.4339924456417779,0.4286334980960946,0.0908462435690951,0.08959865953659654,0.07933489509164644,0.08959865953659654,0.475071264941856,0.03934141481351018,0.19109395163645657,0.05679619174980261,0.13829692639388333,0.08885703192685282,0.16198958716376896
ppg_green_p90,0.9585240454101712,0.044420491712963056,0.8669363867253653,0.8339567748378244,0.04598726777173184,0.944004924154383,0.136152560102044,0.14201458107356132,0.06742884061159908,0.01654554981681717,0.04426819060248833,0.05062801295704655,0.09688958598604867,0.05022030267919098,0.9647507928995632,0.9592807578708344,0.8690927967721555,0.8797373665192184,0.8898572996232172,0.0,0.9634038407964298,0.8385242964441527,0.0674421743961525,0.07148460960141134,0.04595051690195557,0.9559435865676957,0.9585240454101714,0.9647507928995632,0.1749489162487281,0.097526088682273,0.1607860749556739,0.15622321550977186,0.1710514824079601,0.0859007754590846,0.08796526026839657,0.0859007754590846,0.16966941179711664,0.04426819060248834,0.05062801295704654,0.05845660649265996,0.08203967325952885,0.07627099165525789,0.00435657667207634
ppg_green_p95,0.9054068349117377,0.1163049517740689,0.7920725644648493,0.9107639081754098,0.12782410766593805,0.8810427973651908,0.07842379636797335,0.07835184081313783,0.037044716317527225,0.07849166402668702,0.05456509012331884,0.24303256752538244,0.06889844118232114,0.24264910792229166,0.9191039083391582,0.9143387681065241,0.794461134944632,0.8076518756695283,0.8189940653545035,0.9634038407964298,0.0,0.913060300980407,0.01877740769146906,0.10375691941431209,0.1278274307291269,0.8944328584501888,0.9054068349117379,0.9191039083391584,0.008263892985617359,0.07045963711182339,0.022850382083749596,0.02702764828857694,0.16387383403949773,0.2761763847170699,0.276019101558549,0.2761763847170699,0.0589294682947205,0.05456509012331883,0.24303256752538246,0.04388391961029637,0.27316061894142113,0.2028162888529928,0.0810722818490297
ppg_green_p99,0.7681307339084157,0.34902828218151055,0.6284672501241978,0.9993066417342154,0.41715694017995353,0.7335867574241827,0.025473177167801765,0.018202827236680336,0.22197788433639895,0.30239535794235406,0.11104633323466366,0.5498679778972078,0.3273435648153658,0.549573365928201,0.7920663472663483,0.7892910842568874,0.6316327532866487,0.6499679086717349,0.6635141812416185,0.8385242964441527,0.913060300980407,0.0,0.12419680096356077,0.24227037396460263,0.41926175410643407,0.7467627325131303,0.7681307339084158,0.7920663472663483,0.3229680085245351,0.32851989103963497,0.337524196108424,0.34053377552429603,0.13075472409817807,0.5631278762407302,0.5662590755732911,0.5631278762407302,0.12447086285365544,0.11104633323466366,0.5498679778972078,0.052437875745719904,0.5773495454918137,0.420262302841591,0.20653374883349132
