,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
acc_z_dyn__variance_of_absolute_differences,0.15853210039949864,0.18414017988251621,-0.39835643136778104,0.19226071993640542,0.013604454473898577,-0.10742537922878827,-0.2995713927025396,0.011510962208661744,-0.1299895679971622,-0.1331207120948789,-0.20650143992406805,0.12775033541939382,0.022102579282732276,0.048909063287880396,0.1433067840935526,-0.24523396352070426,0.008711336486686124,-0.01674562684153438,0.2770219835550438,-0.3829566930744899,-0.023654221575259322,-0.15639769846986665,0.19633236189507924,-0.008352543677714807,0.03633344461667182,-0.35265138828640236,-0.020787733442764123,-0.06816945975624185,0.22003864229938816
acc_x_dyn__quantile_0.6,0.19814867204661368,0.12028515201942526,0.16974827561062847,-0.0027492457013914323,0.041871444864159606,0.2366413012311752,-0.14911334777227783,0.10157291837769529,-0.11281781057106223,0.6435785726243223,0.0005405331909048072,0.010328382346016836,0.12729213756761906,0.1884313770376663,-0.1864472697115558,0.026827091517438336,0.09754104071225271,0.03588271409345775,0.13732212488901938,-0.006970641971959284,-0.04043150457051868,-0.3097023128842492,0.04368040235821626,0.23892825290999956,-0.18514890251705565,0.04053369480761582,-0.29668466723754044,-0.05201671915674521,-0.00434749125114258
acc_z_dyn__sample_entropy,0.1802697798472254,-0.287180664923447,0.04565161322373478,0.06498728126556493,-0.0045922145946257,-0.04470519683590485,-0.04031627032749931,0.12733143250552298,-0.21720927055002054,-0.0320566758988143,0.3566323835173251,-0.1464873336370676,0.03856845059508366,0.032756209448031925,0.007004025306797734,-0.1316065573145095,0.08887619372820436,0.06539149983449466,-0.21096428782725907,-0.1756630727235331,0.08037772911140455,-0.14846494910112554,0.062004711068933294,0.06600505483657676,0.5014880257628781,0.14501825687485975,0.030401956790953505,-0.4936799537393918,-0.0259794608914077
acc_y_dyn__variance_of_absolute_differences,0.1793124602685027,0.17836316138100183,-0.18078865947081743,0.1569211821093046,0.31586193432773774,0.1749245025515958,-0.05054021028174898,0.3479151410076899,-0.05827362398783608,-0.10400939267753843,-0.0165741452342876,-0.12777627705279004,0.013138225264825287,-0.43484626956442335,0.1357999875781592,0.18036121675512237,-0.09920100255123904,-0.1754026786487727,-0.18165523796301594,0.07798687171626306,-0.19012074223126024,0.07597173272261462,0.21086908621099854,0.2788127782474607,-0.048909752761352725,0.03054644711895288,-0.033014465302026626,0.01816404919418439,-0.32427564011909893
acc_x_dyn__max,0.17387793335439047,0.1900206719970709,-0.06041685172889924,-0.31719731072770063,-0.23114179806835747,-0.16625208079882475,-0.17756224331008874,-0.012785994562912168,0.35077843206049275,0.010471826054078561,0.23859068756880178,-0.13951609697114634,-0.032538176469217396,0.039017599685557125,0.04156853668540286,0.2445825141154014,-0.4437732985661877,0.3330474400676312,-0.1796437973642247,-0.1461792263056061,0.12385846385375214,-0.031511038823729194,0.23394493295444435,0.06874498743903724,-0.06627347554878746,-0.07300001329958604,-0.07464063791901225,-0.004943378600603341,0.018938745777515965
acc_y_dyn__quantile_0.4,-0.18711031166220252,-0.09589897050508757,-0.3104157697747299,0.12174568041655323,-0.23345827865826901,-0.01517549618711155,0.25219902502458175,0.18603075157128532,0.018441487373851553,0.23878981178450234,-0.015300344692944995,-0.23199040700496698,0.4732762517886557,-0.22889462633203336,-0.17001746013592559,0.1349284752579164,-0.06595704463426405,0.011266820000224477,-0.015238898321409984,0.06782085936352472,0.021328247229599594,-0.13932479261823208,-0.02240561029564095,-0.3605641035118227,0.07078318818356695,-0.2995335629093048,-0.03118775882701436,-0.02704016332819649,-0.025314007228828983
acc_y_dyn__tsallis_entropy,0.10747251328191575,-0.13683993447923898,0.28031880715277097,0.5290340507813742,-0.03954541641245942,-0.2511488338674528,-0.14550409038364664,-0.10727003584193681,0.5605002367003891,0.13757805203293166,-0.2475439363142781,-0.09244764653620029,-0.011470336842975873,-0.16338369083437085,0.14152226745768243,-0.023764600997017285,0.03712998186198554,-0.061373085380739746,-0.05460831966757402,0.0398039077884806,0.010919317318128842,-0.1763269353943875,0.024642971182739483,0.021502575481556346,0.11849467780700122,0.07999702958614528,-0.0010828902103972198,0.0223297312229734,0.026210148357028017
acc_y_dyn__katz_fractal_dimension,0.1747027347864968,-0.21821790583405762,-0.08185384811994399,-0.010030640742426511,0.30751929698871483,-0.12523738271458032,0.13464987485644067,-0.04228152502198495,0.24850095354286367,0.015683095866193895,0.21715371875308356,0.5199372587080872,0.27711787365687923,-0.16696398776034826,-0.15991856220081926,-0.010102760566749414,0.031636529647898995,0.3095305204830243,0.19142045232800836,-0.028361726793668808,-0.030601425272124838,0.1565306555798777,-0.16358812975234063,0.22466770049452756,0.04985291210182556,-0.1645480368830595,-0.006139789041929396,0.010832437800961114,-0.09167539903064073
acc_x_dyn__cardinality,0.1255773607602153,-0.15644603154463096,-0.2247954545121744,-0.5569819443173596,-0.1189681404083628,0.2841061388095648,-0.08789866125789836,-0.03432933114181464,0.2995887993406759,-0.007606652900674428,-0.18757865111171385,0.13380072069449453,0.048031908405800676,-0.1925452719321382,0.13846760381231818,-0.167671555381221,0.21891368175602763,-0.17908704694858238,-0.01895074887240059,0.14270549228830218,-5.604220954096248e-05,-0.29349122399141936,0.06715025517860329,-0.018422038386533356,0.22646021837656327,0.1255519422070206,0.010271501944618658,0.08241418238468307,-0.0010541729605871514
acc_x_dyn__variance_of_absolute_differences,0.1732251389660779,0.18164511432655409,-0.2842075762754754,0.05751699263343984,0.026597495975345074,-0.2941233898677031,-0.3625971757261962,0.03634030193556545,-0.010785131896706638,-0.10261904830451785,0.18701272908896116,-0.03825421688242589,0.15115307852090673,0.26092415957192827,0.007049998883590157,0.31301738407174234,0.32534774462369326,-0.08644876844646618,0.005027284617550477,0.45097300546134683,0.09155474054906287,-0.02527822046562227,-0.23694592871204304,-0.037160993693480894,0.04339632422300097,0.08435613945698811,0.037620725075823334,0.04998035168901045,0.025993146351520814
