,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
acc_y_dyn__tsallis_entropy,-0.14181429242371732,0.22801380696843707,-0.14566461085910173,-0.05397405394135223,-0.21481651750221872,-0.27920228384368806,0.7016232898048403,-0.3267006022089188,0.11775176765999591,0.13444442466396747,-0.0917583921443436,0.037076669192380604,-0.19389974326801096,-0.07360690839615817,-0.2162815010563339,0.00835095161014266,-0.13558548554869027,0.08687091380506232,0.10761922083050227,0.04433308540158438,-0.03142904024011788,0.02156628430390131,-0.03499427077874393,-0.07082192298141278,-0.022334082313296498,0.03730330733570215
acc_y_dyn__katz_fractal_dimension,-0.1925544312834545,0.28273439325974864,0.03891139612554078,-0.07628097906752225,-0.07598516875768807,0.116578731546457,0.011657963128630714,-0.015687748580801006,-0.0875910724836028,0.31829444870240364,0.2963327536027768,-0.1751352487497223,-0.37510938620221185,-0.049100590582615476,0.45318711416086477,-0.06148018470441229,0.22575359541070966,0.016880904785529678,-0.3235456026910974,-0.040908147443934305,-0.2847758190485386,-0.09506527991778065,-0.05227228452515399,0.10148607624276548,-0.11001519584017226,-0.05731308944425935
acc_x_dyn__cardinality,-0.1082402084454231,0.10792821127262667,0.5159411975172971,0.2275875685292228,0.49539856106767893,0.23488967918184317,-0.03587130337692823,-0.3778378402057079,-0.09577490666854073,-0.05472684475037084,0.07190801128327931,0.08707341825443442,-0.2910970492094038,0.01495840967236628,-0.19813092916259387,-0.10235508948765125,-0.1526617318540904,0.07300560256526628,0.09165484127800286,-0.021605322729314442,0.0073794044329297944,-0.01611860199988034,-0.006770744615445257,-0.1197316648796936,-0.04023611186265824,0.023904680022559972
acc_x_dyn__variance_of_absolute_differences,-0.18611382261242682,-0.20391948027316745,0.15151977999736232,0.09811134179681817,0.0052786607964170305,-0.27736590901428976,0.12627245762123715,0.5828250404503694,-0.007246172747798536,-0.006643917757014731,0.3146122996830161,0.16923281257931239,-0.2790221188947207,-0.10849026198232135,-0.27364804602076914,-0.23079968311448687,-0.11213357524147184,-0.10383857016238864,-0.17341096384277738,-0.1533356055344662,0.13622439811544754,0.06259858893019142,-0.10759825795530532,0.03523485470530888,-0.0006353215623074115,-0.02962950919573736
acc_x_dyn__quantile_0.9,-0.21511883758855407,-0.18273005354567043,-0.004538907347879787,0.2922738848151558,-0.050894572261869296,-0.006811342265151726,0.1679574227406253,-0.05480014748749573,0.0821187696197143,-0.14736142757451193,0.07087248447356158,0.018605117567366745,0.07566948179117192,0.1469451825421769,0.22844440121081966,-0.3371771580662933,0.25568516558255183,-0.03589420659282216,0.07967047514967875,0.26324405366349196,0.06117409959122675,0.2644384212333324,0.4692995712648514,-0.13543109264243638,-0.15532125062244673,-0.3087574800956205
acc_z_dyn__harmonic_mean_of_abs,-0.23186916128860646,-0.061418179633389476,-0.09328985784138172,-0.15883680973787978,0.018526775509471648,-0.010573389014833802,-0.13420228998239747,-0.030031240386828265,0.013985388726263122,0.010111423454456732,-0.21772270585810044,0.6690676723604018,-0.2942872312928846,0.10963059326087488,0.19428655520927723,0.3484265490372062,0.18381168912458112,0.04816255185823321,-0.02278422088076781,-0.024209217338005615,0.17702753075760969,0.19914644101286483,-0.08910317920621319,-0.13658132362672812,-0.020758297117882792,-0.02839202749251371
acc_x_dyn__approximate_entropy_0.1,-0.1877231836182154,0.30257731613233063,0.055348513390716614,0.049549608073517534,0.049726430307732335,-0.06289508345597755,0.08936912822868227,-0.1573101029635204,-0.18535985442550643,-0.33769717999446053,-0.18068148952069657,0.00342847439246901,0.24474971876804885,-0.11129640875193413,-0.11674892065107464,-0.038818319588756506,0.3267746006946655,-0.2661686071533343,-0.30468714017527176,-0.3401473056812685,0.10661374640170888,0.17588231636321336,-0.07601665716644922,0.334081301430719,0.07392774514961087,-0.09342258705957458
acc_y_dyn__quantile_0.3,0.23337249558398007,0.08304189364250061,0.1130796132289873,0.19152223554005526,-0.17190920802251308,-0.15055047167876348,-0.11564829934846727,0.019808348548115192,-0.04600289418430379,-0.011261721819093757,0.09083738428746864,0.08435575030420406,-0.2255462294814934,-0.08276064600830774,0.020980914788502867,0.14556438540947356,0.030845444438341547,0.06435772339138421,0.3529899730686083,-0.11472333167229762,-0.2444893540022929,0.3868913843284524,0.3196967019400133,0.44599404719293756,0.0839517416328984,0.2564120313983241
acc_z_dyn__lower_complete_moment,-0.1962838181341235,-0.17929753605510065,0.16984591500507099,-0.23338997772914866,-0.03103934417026399,-0.262851406381067,-0.01163029679148499,-0.296783037738584,0.15978660127655894,-0.17232749288016008,0.5159838591004672,-0.007309645648279569,0.186880492050193,0.36898279515384724,0.14509674329794567,0.0943863906852291,-0.018770025037513047,-0.2022972509445316,0.08764390980467103,0.05590688174386271,0.0060954600254831594,0.002595109277398752,-0.19674609343590269,0.10290713644678122,0.11174356981136833,0.22642456483731518
acc_x_dyn__katz_fractal_dimension,-0.19474311545382322,0.2628318345915562,0.134195193657941,0.018413245107385578,-0.11124064618589265,0.13833726164584334,-0.026338156559735953,0.1675914115029395,0.47379423809728305,-0.04352195794877679,-0.03851637839637914,0.05822442936670187,0.15149124370255834,-0.008564470011786006,0.1209433740831015,0.054419854183233515,-0.17979650265610694,-0.21861104170717816,0.14760326605651225,-0.5030436076687278,-0.13891191655216184,-0.09501573736289261,0.22900032458909192,-0.28931112746882737,-0.1251300730556152,0.08609934251769104
