bout_id,t_start,t_end,duration_sec,task_name,rmssd_end,rmssd_recovery,delta_rmssd,qc_ok,effort,subject_id,eda_cc_std,eda_cc_range,eda_cc_iqr,eda_cc_mad,eda_cc_mean_abs_diff,eda_cc_kurtosis,acc_z_dyn__quantile_0.4,acc_z_dyn__sum_of_absolute_changes,acc_x_dyn__cardinality,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__cardinality_r,ppg_infra_mean_cross_rate,ppg_red_zcr,ppg_red_mean_cross_rate,rmssd_during_effort
11,1764867419.306,1764867601.494,182.18799996376038,Stand,0.04963596885522887,0.16274440724582892,0.11310843839060006,True,5.5,parsingsim3_sim_elderly3,0.17669617380507485,0.6101092896174733,0.3050546448087411,0.15290727459016598,0.0019125683060108507,-1.198214974372024,-2.779805783579843,1055.8822825765296,318.24590163934425,1.8507742247860175,317.672131147541,0.10632612158898193,0.1129554447813351,0.1106428901793514,0.07252923995654609
12,1764867602.322,1764867612.126,9.803999900817871,Stand to Sit,0.0547164618599395,0.19278681356914643,0.13807035170920692,True,1.5,parsingsim3_sim_elderly3,0.19244915002987723,0.6645833333333186,0.3322916666666629,0.16666666666666785,0.0020833333333332748,-1.2000000000000004,-2.9611160070763987,1780.961326066907,319.5,2.6144616768108326,318.0,0.08150470219435733,0.06818181818181812,0.06034482758620685,
13,1764867665.231,1764867681.646,16.414999961853027,(Un)button Shirt,0.23421994141012947,0.347299935196731,0.11307999378660155,True,0.5,parsingsim3_sim_elderly3,0.19164379394913353,0.6591145833333153,0.33229166666667237,0.16666666666666904,0.00206618991640535,-1.2082248899910557,-11.59411478482747,2968.527572572349,317.0,5.309936873212656,318.0,0.0621734587251828,0.07993730407523507,0.06792058516196442,0.2049944025531551
14,1764867688.752,1764867696.108,7.355999946594238,(Un)button Shirt,0.2534006501122619,0.30098092758989203,0.047580277477630106,True,0.5,parsingsim3_sim_elderly3,0.14433686252240804,0.4984375000000038,0.24921874999999236,0.125,0.001562499999999933,-1.1999999999999986,-9.211030217473398,3298.757986360781,320.0,6.958484959366128,318.3333333333333,0.06478578892371988,0.07105538140020894,0.06896551724137923,
15,1764867697.547,1764867712.968,15.421000003814697,Arm in Sleeves,0.3498904262516022,0.2796533570707055,-0.07023706918089673,True,3.0,parsingsim3_sim_elderly3,0.14433686252240796,0.4984375,0.24921874999998858,0.125,0.00156249999999992,-1.2,-16.206589444917505,5815.761531972961,319.2,16.070036837657888,320.0,0.08463949843260184,0.0802507836990595,0.08526645768025073,0.31176671780054555
16,1764867729.217,1764867741.011,11.793999910354614,Fold Clothes,0.33767363327409444,0.2230030915675795,-0.11467054170651494,True,0.5,parsingsim3_sim_elderly3,0.144336862522408,0.4984375000000014,0.24921874999999,0.125,0.0015624999999999248,-1.1999999999999995,-56.182430563613025,12096.030636425272,320.0,28.276620976300364,320.0,0.08463949843260185,0.07210031347962377,0.07210031347962377,0.0828026723728367
18,1764867835.31,1764867852.785,17.475000143051147,Lower/Raise Pants,0.43127590398214005,0.26127249897909416,-0.1700034050030459,True,2.0,parsingsim3_sim_elderly3,0.14433686252240796,0.49843749999999903,0.24921874999998764,0.125,0.0015624999999999164,-1.2000000000000004,-24.180541556357287,7188.6140403682775,319.8333333333333,17.572991824944733,320.0,0.08829676071055377,0.08881922675026122,0.08463949843260184,0.5409133759424308
19,1764867861.166,1764867876.786,15.620000123977661,Lower/Raise Pants,0.3907543711075839,0.27611448421524953,-0.11463988689233434,True,3.5,parsingsim3_sim_elderly3,0.14433686252240796,0.4984375,0.24921874999998858,0.125,0.00156249999999992,-1.2,-23.52541756999632,7330.033995154225,320.0,16.052028449832104,319.8,0.06520376175548587,0.07398119122257048,0.0733542319749216,0.17093390894634852
20,1764867921.243,1764867939.099,17.85599994659424,Transfer from Toilet,0.27611448421524953,0.16773839977097693,-0.1083760844442726,True,1.5,parsingsim3_sim_elderly3,0.14433686252240796,0.49843749999999903,0.24921874999998764,0.125,0.0015624999999999166,-1.2000000000000004,-15.408150501786976,3155.6446116128914,319.8333333333333,8.307575294678646,319.6666666666667,0.0783699059561128,0.07105538140020891,0.07001044932079409,0.35716029533320187
21,1764867958.165,1764868002.522,44.35700011253357,Wash Hands,0.15268946336330128,0.15689404777134672,0.004204584408045442,True,1.0,parsingsim3_sim_elderly3,0.144336862522408,0.4984375,0.2492187499999886,0.125,0.0015624999999999205,-1.2,-19.511571488406016,11342.175128384879,319.8,15.537724996681355,319.93333333333334,0.09362591431556945,0.1065830721003134,0.09864158829676066,0.15270639929212404
