,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ppg_red_p10,-0.34844454714244655,0.16810357324763503,0.03159381047475037,-0.01652686638752064,0.13349309159770192,0.0636923799788038,0.04340829002214668,0.24574544792363717,0.05023238992805573,0.10821041361802826,-0.11398681571523014,0.20006599088912708,-0.1592027084846775,0.1996399535682353,-0.07383899905027178,-0.22791616535572737,-0.23621006124724842,-0.6220150971401155,0.2627794800407888,-0.25159739682493937
ppg_red_trim_mean_10,0.05378137582329296,0.19147681926467094,0.3259398013002523,-0.43243783074140163,-0.18526274229791184,-0.02166670778500313,-0.11376940848134648,0.39211923985435965,-0.04055963195789372,-0.011237233566115577,0.07796005195969619,-0.17724352031132068,0.15517060649906905,0.2693614019534848,-0.1934315058640571,-0.4422213527594042,-0.07486984498146121,0.27732226967187296,-0.11595594866654926,0.02966458626945315
ppg_red_crest_factor,0.16905032739520773,0.36457767459065243,-0.20817289858403248,-0.008603605253713575,0.198206453992493,0.040397311258202874,-0.17691542069044153,-0.11014248196075338,-0.3585249491833545,0.5962086974714499,0.1047780650738963,0.20555865738743428,0.36623343688393223,-0.1658231788172212,-0.051808282496559,-0.09116280878414416,-0.026475680308338453,0.009077426670728023,0.007681092382481522,0.006915688984963537
ppg_red_shape_factor,0.11815238317788317,0.40540510410030295,-0.13443272079591692,0.02885857838094338,0.11911292702798366,0.10692093387201669,-0.4375948924799731,-0.05523039104639263,0.187529905518263,-0.6412058656767189,0.05851307971157906,0.22952335923584224,0.22686303902149568,-0.046321916300589815,0.12642839531803077,-0.04735454254928862,-0.05445317062816193,-0.07190624880286274,-0.013102686264959045,0.007642828708349768
ppg_red_mean_cross_rate,0.02156096572565569,-0.1856502069380612,-0.22559752370480385,-0.41156978506701164,0.41393489472829487,0.15924382651022817,0.1861381145204596,0.05317413622536003,0.01925624704332669,0.008808669408336755,0.0011199887406035738,-0.16775179670622803,0.21134457259582135,0.2724409769741771,0.6019492112136154,0.010789798564557553,-0.0048979036413814,-0.020005154315147322,-0.015291524166025743,-0.003374353053050343
ppg_red_tke_std,0.32449415203203114,0.024327334800525752,0.275063112559533,-0.017052914038141888,0.06390618476146202,0.07439841638229037,0.014266192396925973,0.27828034018464465,0.28851735250492017,0.1730671092354937,-0.06266091503414575,0.05312413341856687,-0.035537470079562934,-0.20348637510651177,0.08872687866135176,0.20416509659631873,-0.3102119012900217,-0.2509239753850228,-0.09790170546692918,0.591566639816284
ppg_red_ddx_mean,0.2860603200930153,-0.04271918531355555,0.26898946690949693,0.13999828426032085,0.2559131398991443,0.06107111740845875,0.17782471162213356,-0.20799421865331996,-0.10704956736655154,-0.09360163343365266,-0.02335579916619296,0.19363575321962906,0.18541533062311366,0.6233463139538533,-0.3521566095317454,0.20542150379591778,0.11193714125570564,-0.1064120645804108,-0.08112008960237804,0.04938050423168955
ppg_red_ddx_std,0.2651082329999177,-0.17341668976397265,-0.278332898309609,-0.17385599031802693,-0.21443903511703769,-0.05095662613040133,-0.11758005202408484,0.13393552382704332,0.10023484434427152,0.12170645716654346,-0.2322475017296611,0.5290175328968438,-0.25755289235374285,0.13438734387750864,0.060218001037169594,-0.017856062114303434,0.022568560822141367,0.027233960769621916,-0.46071378751076386,-0.22605318074602188
ppg_red_dx_kurtosis,0.1555586408271379,0.33730948585628345,-0.19199097835496948,0.008556014193535723,-0.1910774185066569,0.10475867568298261,0.5244406071666314,0.045606683982358336,-0.04885504080442017,-0.14335482049576473,-0.6378378439189607,-0.09890820930694581,0.1883681571263694,-0.12353442957894763,-0.05992283188022557,-0.054940086687913836,0.02871944258720787,0.022923320041365953,0.0471916338314378,0.00013462697444002118
ppg_red_ddx_kurtosis,0.157045187718045,0.28640255464548725,-0.25365663787446213,0.0127355349653196,-0.2731885207931186,0.04492523579082722,0.4867887935999766,0.04259853585491313,0.10382003115995107,-0.03452113950970492,0.6747162810759078,0.08950799393494167,-0.1394051169940862,0.10790498592794365,0.03751130144630463,0.025390207733886075,-0.05663371449974663,-0.03568524290148271,0.021735505192296698,0.008483167486494787
