,ppg_infra_mean,ppg_infra_std,ppg_infra_min,ppg_infra_max,ppg_infra_range,ppg_infra_median,ppg_infra_iqr,ppg_infra_mad,ppg_infra_skew,ppg_infra_kurtosis,ppg_infra_diff_mean,ppg_infra_diff_std,ppg_infra_diff_mean_abs,ppg_infra_diff_rms,ppg_infra_signal_rms,ppg_infra_signal_energy,ppg_infra_zcr,ppg_infra_p1,ppg_infra_p5,ppg_infra_p10,ppg_infra_p90,ppg_infra_p95,ppg_infra_p99,ppg_infra_p90_p10,ppg_infra_p95_p5,ppg_infra_p99_p1,ppg_infra_trim_mean_10,ppg_infra_mean_abs,ppg_infra_rms,ppg_infra_crest_factor,ppg_infra_shape_factor,ppg_infra_impulse_factor,ppg_infra_clearance_factor,ppg_infra_mean_cross_rate,ppg_infra_tke_mean,ppg_infra_tke_std,ppg_infra_tke_mean_abs,ppg_infra_tke_p95_abs,ppg_infra_dx_mean,ppg_infra_dx_std,ppg_infra_ddx_mean,ppg_infra_ddx_std,ppg_infra_dx_kurtosis,ppg_infra_ddx_kurtosis
ppg_infra_diff_mean,0.00952665635699166,0.014637786011839878,0.027900138277931003,0.0009681439383558175,0.013834509152898687,0.020525869927444738,0.01810243550742433,0.0137034062160813,0.005794218002327245,0.015255867593118902,0.0,0.021908839152216652,0.023170936252803132,0.0221509901252433,0.014353172642673025,0.007417210769823682,0.004109495592140337,0.025479209617931743,0.018954632557822912,0.003399611598142534,0.015217827994028025,0.011264511784594842,0.0030932299544798197,0.00964069452264527,0.015399543444554005,0.014636539032774431,0.013008433561062727,0.01492383437789469,0.014353172642673025,0.018902950565183783,0.007830629917221376,0.01508090328967745,0.00951878406922326,0.0035674839672531745,0.019666009551824033,0.018624433385913387,0.019666009551824033,0.02610612186195756,1.0,0.021908839152216652,0.07180956515599557,0.02289648578759238,0.014172058097224254,0.030516082294958006
ppg_infra_diff_std,0.01025285418661267,0.9276589792560097,0.9260370046301928,0.9193262257266244,0.9488378847894404,0.06541193478435631,0.8650416198804625,0.8668938509591891,0.08877903876417167,0.0476070651072367,0.021908839152216652,0.0,0.9909534184616464,0.9999898031507459,0.9268766356559706,0.8478380747508067,0.08759016267527438,0.9231037621883668,0.9054381247195896,0.8842022964257612,0.8935347557932917,0.9047321703165387,0.9161430227291684,0.909264988455734,0.9267069478512117,0.9446509630725638,0.023253641345830623,0.9132423177674044,0.9268766356559706,0.20074104282082855,0.1262519139228886,0.12331072156073074,0.000571715960502799,0.06863276052657913,0.8988153273152444,0.8535170194677207,0.8988153273152444,0.9891233574932987,0.021908839152216635,1.0,0.001296366281940619,0.9752533071806941,0.33894077975581927,0.43825544121614934
ppg_infra_diff_mean_abs,0.01020150870041773,0.9345309295226045,0.9200429394797335,0.9175806222834454,0.9448602877907096,0.06210230401947917,0.8881502622861599,0.8913867546845397,0.09328421632923938,0.005788017251522193,0.023170936252803132,0.9909534184616464,0.0,0.9909946858775488,0.9337729663607112,0.8622016458155352,0.0849714731184795,0.9187212457673483,0.9126855847691796,0.899129882181586,0.9037096988717427,0.9094735852743835,0.9154630154604052,0.9220549305053815,0.932821463174759,0.9420571751336482,0.019750799347895833,0.9266619802116077,0.9337729663607112,0.15895593319015733,0.0874972388638493,0.08786494028378694,0.004822310538996279,0.0644343199629484,0.8822395231248323,0.8089815587713142,0.8822395231248323,0.9753065194934396,0.023170936252803132,0.9909534184616465,0.004685213342746874,0.9571303901815772,0.2675087689496803,0.3872077857181756
ppg_infra_diff_rms,0.010103565296341861,0.9283470649459021,0.9266228076689577,0.9200264926848861,0.949499203367175,0.06555665017618549,0.865714155344278,0.8675081399230019,0.08897102467153077,0.0480796017385625,0.0221509901252433,0.9999898031507459,0.9909946858775488,0.0,0.9275664316619349,0.8482802021822736,0.08804563633049835,0.923697033052436,0.9060780774290513,0.8848549877537617,0.8941410853050566,0.9053434914744556,0.9168379778130439,0.9099084089791653,0.9273472705957834,0.9453127896555618,0.0230433199887714,0.9139134015976296,0.9275664316619349,0.2013256860066253,0.12665456865195052,0.12374861346502077,0.0006066832646499466,0.06907754122841403,0.8983369717692483,0.8529931098890177,0.8983369717692483,0.9891244105311554,0.022150990125243297,0.9999898031507459,0.001402357968098623,0.9749911788458341,0.3391682626890287,0.4387362077844949
ppg_infra_signal_rms,0.010875268622750327,0.9998680996339065,0.9546182360391917,0.9634308749102928,0.9862183347178899,0.06872733635555642,0.9606630914857307,0.9548951832947343,0.11064955155947068,0.005410338011919965,0.014353172642673025,0.9268766356559706,0.9337729663607112,0.9275664316619349,0.0,0.9286961816398778,0.15638707698848733,0.9583926445949446,0.9714737047359414,0.9689336481984359,0.9730038863911565,0.9731888980064161,0.9662991284752035,0.9931872947042156,0.9955824295387923,0.9885623894772159,0.012695383380924692,0.9954700680136762,1.0,0.13181730654001697,0.09677026616637706,0.08086841987392468,0.00454035713444364,0.13844000000712767,0.7518028120060467,0.6943838476716212,0.7518028120060467,0.908805172604869,0.014353172642673025,0.9268766356559706,0.006117913202982597,0.8599261254754469,0.2928468441941399,0.4531435813438267
ppg_infra_signal_energy,0.002623346352569686,0.9292997117543613,0.8847790029894365,0.8858165976700098,0.9103977462038402,0.06461894377974058,0.9067952121697397,0.9009639966989509,0.08940658131064805,0.03287542992280047,0.007417210769823682,0.8478380747508067,0.8622016458155352,0.8482802021822736,0.9286961816398778,0.0,0.11148465440868544,0.8889130519304935,0.9046860288705124,0.9072914875008001,0.9081023265457601,0.9024085165951565,0.8893207057354284,0.9284373544979532,0.925117794507516,0.9133265425987173,0.0074712757598717925,0.931699256328807,0.9286961816398778,0.05863491591394294,0.0360504818309832,0.029831109841273813,0.005047358249759995,0.09712906304374604,0.7771420236146912,0.7103143700242267,0.7771420236146912,0.8220431968749083,0.007417210769823667,0.8478380747508067,0.007697848775803436,0.8037541796417405,0.19276323725534258,0.32800664632630877
ppg_infra_zcr,0.0014032901739935086,0.15563204945115688,0.13406860288411748,0.14134751793621814,0.14161562799434613,0.00820507034097294,0.15903328408121475,0.15173739216227608,0.03619574050237386,0.0038050362606616684,0.004109495592140337,0.08759016267527438,0.0849714731184795,0.08804563633049835,0.15638707698848733,0.11148465440868544,0.0,0.13635629097076757,0.14675088971074096,0.15393735266457492,0.15215197036128053,0.14973365319131585,0.14341035501395322,0.15652224772579232,0.15181231143780313,0.1437042640116369,0.003702832819351321,0.15882651089799493,0.15638707698848733,0.06979998396996152,0.025066644620574674,0.034845073061745974,0.009003137260797597,0.9383617517673715,0.02695879901555211,0.03034724978505393,0.02695879901555211,0.0869561546494364,0.004109495592140336,0.08759016267527442,0.006818555230653764,0.06415216292720839,0.10560016707872313,0.15582876311228838
ppg_infra_p1,0.08135048936980427,0.9586397719491822,0.9983400770660897,0.8942802165099748,0.9730915757144045,0.0262809824675307,0.8877433793919356,0.8868867413775352,0.02605954882612619,0.05691156598881346,0.025479209617931743,0.9231037621883668,0.9187212457673483,0.923697033052436,0.9583926445949446,0.8889130519304935,0.13635629097076757,0.0,0.9808312923063567,0.9406802539748728,0.8982947861922899,0.8969129347421488,0.8953784821018566,0.9400610072618184,0.9605320171566922,0.9733123017624575,0.015260365828485226,0.9420941399403847,0.9583926445949446,0.20046477317270048,0.14488852285179646,0.12905816532053152,0.001866819610043985,0.11974796283781972,0.7662701100314003,0.7256589429381062,0.7662701100314003,0.9077836292865237,0.025479209617931743,0.9231037621883668,0.050109608195251155,0.862089674026875,0.3255312233602498,0.46372773946673307
ppg_infra_p5,0.09667841600073054,0.9716548604210676,0.9745256743017341,0.9037113953293691,0.9657113515209025,0.02085811485595769,0.917027626325374,0.9166440655972472,0.002584007305388247,0.0050009913824792035,0.018954632557822912,0.9054381247195896,0.9126855847691796,0.9060780774290513,0.9714737047359414,0.9046860288705124,0.14675088971074096,0.9808312923063567,0.0,0.9768983710888283,0.9100083732632477,0.9077043280574142,0.9050507471563091,0.964326766506064,0.9757925908302604,0.9684846124463024,0.05521298604988166,0.9619646992981811,0.9714737047359414,0.14036709722544702,0.1106573765503507,0.08768080373056598,0.005807009128883306,0.12939998630791913,0.7355247701429942,0.6756271331989202,0.7355247701429942,0.8889021525164064,0.018954632557822912,0.9054381247195896,0.053260981120845534,0.8354041498222616,0.2779382904293966,0.43706969116228045
ppg_infra_p10,0.12221958184134958,0.9691902195642034,0.9339645499443132,0.9012678954841511,0.9436169375083402,0.039593296212023454,0.9427973222687055,0.9413534375170641,0.04974180098715232,0.04731846565418752,0.003399611598142534,0.8842022964257612,0.899129882181586,0.8848549877537617,0.9689336481984359,0.9072914875008001,0.15393735266457492,0.9406802539748728,0.9768983710888283,0.0,0.9116409663147717,0.9079256471872551,0.9028726595207222,0.9767595206707911,0.9642946737323136,0.9468093694121413,0.1218048672315562,0.9699015081864638,0.9689336481984359,0.08318576551013464,0.06122594240600086,0.044606583163294876,0.00721775319656478,0.13571102416962025,0.712507980568123,0.6471087084677601,0.712507980568123,0.8641227405874465,0.0033996115981425367,0.8842022964257612,0.04970217161947233,0.8166128171309989,0.25027506899559454,0.42031772072112406
