,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
ppg_infra_dx_kurtosis,0.08924322358350013,0.35807831151236863,-0.02535588633397476,-0.1817787840645358,-0.065512384244235,-0.19521825509935606,0.40214296733742005,0.3125470229285725,0.18247048330395294,0.4328555018595471,-0.022241531002566088,-0.3823613560207718,-0.06906995611492243,-0.3921754318957806,0.02071244557231164,-0.025363542984876957,-0.007220437740586692,0.009507958554174405,0.0254645867602538,0.014026102207927417,-0.0159365009825866,0.009054968984083141
ppg_infra_signal_energy,0.32207768838940354,-0.08182068528111971,-0.011641947742375801,-0.010297988047250628,0.04380344943499309,-0.03519632628450488,-0.13833672617408616,0.36003151090464425,-0.1068047424891772,-0.07297208804835485,-0.06327102892147506,0.017023358784227453,-0.09956690703646696,0.067207805843437,0.36772214766221895,-0.040778108085434764,-0.06345965251264825,-0.13426433452850658,0.2789059248248101,0.32544779914458866,0.05964128266663663,-0.5964549431975813
ppg_infra_trim_mean_10,0.16024362906998213,-0.01046561948686983,-0.5021412508510706,-0.037818415637178464,0.27223345226750556,0.11589217066250376,0.13541662506440957,-0.16187174801902723,0.03814173421513216,-0.025212022946712646,0.15025448174521247,-0.050505491040574044,-0.14177617253485195,0.08047066513308143,-0.12202244679908042,-0.46333150783771343,0.18285600521633397,-0.0580698583611151,0.3573779759717271,0.14562239207466254,0.26857293375126856,0.21755513240244637
ppg_infra_ddx_kurtosis,0.08195953963300474,0.3029800020569442,0.012745154719957616,-0.19117154893032168,-0.23094685213245558,-0.09270412993978373,0.61755581785814,-0.01723449971083616,-0.4059721502260918,-0.294399635053395,-0.034727781670567864,0.28504272239916306,0.03334292705669011,0.2914789181123979,0.0037469718651807174,0.021392786627947323,-0.017620788572503997,-0.012149168192147638,0.0038994924385468126,0.0061179225328320125,-0.013222729271145572,-0.002270637952034356
ppg_infra_ddx_mean,0.14626396880646533,-0.03235427206662715,0.48477044925040524,0.03334929503943308,0.2914015188917753,-0.027673569593359922,0.05715863250466158,0.15120758898257144,-0.16994057359705997,-0.04690675079449617,0.7294755494169095,-0.0833802542587771,0.10796113784002748,-0.008915488023116544,-0.12167250945519145,-0.16900290898766965,0.010702264425218929,0.003538439976634045,-0.056310586577804043,-0.03213170173571538,-0.005608201800739641,0.0019928517445713997
ppg_infra_clearance_factor,0.0748446447964307,0.44735681129716315,0.031937880094371006,0.0019097998751302014,0.06424622730193132,0.08279553786855172,-0.24245533963566607,-0.10650423572584941,-0.10518913135261446,0.024806910400192148,0.06775214770802376,0.003113545011742834,0.020834654380589932,0.0013302469461941252,0.1094507212148881,0.3025165799201189,0.6913501456962765,0.2736856137776156,0.16122498044723044,0.06085970389534182,-0.09574735781902338,-0.013801919434970823
ppg_infra_shape_factor,0.06856254466607424,0.40450287532434254,0.018573291851968404,0.01735016392496042,0.059321357987135635,0.1340774331200161,-0.33242172877722215,-0.21008647375709208,-0.532382288324126,0.3342667362078544,-0.07801311095621834,0.07354872486090039,-0.19116080189960777,-0.12431464671090528,-0.09722300486872984,-0.1510134038197275,-0.3240918749521192,-0.2245543907390719,-0.0791142002603665,-0.03414489381782345,0.0324089263045937,-0.006651972988098021
ppg_infra_crest_factor,0.08139412422735211,0.42317005128867535,0.049153854984758,0.03982160809119108,0.03901135142331237,-0.012917592986735801,-0.14820332252451165,-0.10076605623018932,0.22306722573842638,-0.7105333537757393,-0.08335855999368223,-0.2571346418755862,0.06779063619082641,-0.27747943947657827,0.03896094748936752,-0.15332889712846803,-0.18774037669717297,-0.051157556899462074,-0.054406110459071635,-0.027050936383606443,0.02484526207476964,-0.00438594482416822
ppg_infra_kurtosis,0.059670933332202566,0.42305119304683314,0.01517652503187736,-0.06723015113557082,0.08343093297049393,-0.005525642115673973,-0.15604531754127673,0.17683103799612507,0.533958123981451,0.19105694954896402,0.07463925244958582,0.36147460146889476,0.13519337659515948,0.47688819222155887,-0.0658131732989925,-0.07762134477468116,-0.17216641398359073,-0.05336120525777296,-0.05063406385742209,-0.024827198342512166,0.02305758666188206,-0.0008419247618277556
ppg_infra_mean_cross_rate,0.013770867304789563,0.07669702141190009,-0.054789408332420055,0.6754736412126982,-0.01877051530032969,-0.09124272806302486,0.16930687772439587,0.09454100097124096,0.09900273795077881,-0.01443121592181593,0.08735926137820252,0.5218275196751554,-0.219134217702038,-0.38257868004215984,0.03122678288787921,-0.015736765766971025,0.052411830254631545,-0.002793973860387057,-0.00027288636500142163,-0.007368421507941742,0.0030940463838092817,0.0028041980144866275
ppg_infra_zcr,0.008730481635399946,0.11242173869365481,-0.045009436379389915,0.6729091872514948,0.013974676475582603,-0.0473015237845802,0.11393015910402028,0.007969373796221256,-0.12924539746248428,0.1040548210327044,-0.12250586441342151,-0.4737148055044982,0.25322789052074246,0.4236101277214413,0.05742726486991666,-0.02587349229402809,-0.04395365249173528,0.013989478999281761,-0.01581040485735304,-0.0010622061039664529,0.0075776004314667455,0.007591316415972726
ppg_infra_skew,0.008106279188720773,0.012292499839334458,0.11084417336836529,0.04815286890437491,-0.14298615431158368,0.8971028805023723,0.14365004487810631,0.262052177399298,0.025191892081873928,0.001204950971288037,-0.09830498142734263,0.014329841571674634,0.183389807239607,-0.10894033780194212,-0.08652422779418331,-0.06455332681854854,0.026285997891992603,-0.010039438775769694,0.0463253465182222,0.0011357791743955678,0.0054805976362789,-0.0022264708559137213
