,ppg_infra_n_peaks,ppg_infra_hr_mean,ppg_infra_hr_std,ppg_infra_hr_min,ppg_infra_hr_max,ppg_infra_hr_range,ppg_infra_hr_median,ppg_infra_rmssd,ppg_infra_sdnn,ppg_infra_sdsd,ppg_infra_pnn50,ppg_infra_pnn20,ppg_infra_mean_ibi,ppg_infra_cv_ibi,ppg_infra_lf_power,ppg_infra_hf_power,ppg_infra_lf_hf_ratio,ppg_infra_total_power,ppg_infra_lf_norm,ppg_infra_hf_norm,ppg_infra_peak_quality
ppg_infra_pnn50,0.20605338577511706,0.22593167792398652,0.04463183060699368,0.25507030098800165,0.19825176214411253,0.0659742183705635,0.23207126782270063,0.5046677881724584,0.408704167466819,0.49087846108070776,0.0,0.6782210030409935,0.21485846822877716,0.3132142620630954,0.24834341617214076,0.14066728181496796,0.22806911939453983,0.3704487693766298,0.10082162157550627,0.10082162157550624,0.13123441178077608
ppg_infra_pnn20,0.05596170381407194,0.18750795845826895,0.025939514117763338,0.2225386515028859,0.16059724933587655,0.028772660546799934,0.19010224420006047,0.2838641280537085,0.2554274352491138,0.26750336366432703,0.6782210030409935,0.0,0.17749553464744686,0.15821190365270565,0.10399607160242817,0.15257197317325263,0.12937908019523672,0.2288867581027065,0.06440507743814972,0.06440507743814974,0.05904594575743058
ppg_infra_mean_ibi,0.5841607667879803,0.9774986620333225,0.762480166333063,0.9599312816563251,0.9617150707232982,0.747775185933435,0.9618149848377278,0.559632001748582,0.6470969092858854,0.5278898594362329,0.21485846822877716,0.17749553464744686,0.0,0.1925325032964608,0.002760524197618157,0.11815038273847028,0.09885278159248886,0.01665954638658937,0.1317289609500087,0.1317289609500087,0.3853424558907198
ppg_infra_cv_ibi,0.08164131689538805,0.21663453913118674,0.7422246006689985,0.08283400975425738,0.27330585177015093,0.5049618101499681,0.1926302930857104,0.5407386156185365,0.6128000541082779,0.5533505750411343,0.3132142620630954,0.15821190365270565,0.1925325032964608,0.0,0.28566638795481997,0.27319950529641446,0.12275198331605093,0.2790600314425024,0.1889705839928522,0.1889705839928522,0.23010419823082143
ppg_infra_lf_power,0.027363904892032945,0.022295514473447287,0.178964203782637,0.03485925621512739,0.007059954803909011,0.06844628533316319,0.044255815638938184,0.24364836886430502,0.21948382716594286,0.27125734155348763,0.24834341617214076,0.10399607160242817,0.002760524197618157,0.28566638795481997,0.0,0.2337868975752472,0.35318365593869483,0.8521242915666272,0.5880713684132282,0.5880713684132282,0.18160293694755034
ppg_infra_hf_power,0.06870624701361604,0.1302440472532312,0.06728831137926745,0.2089375069424913,0.09229215553692942,0.10682900967928724,0.16270936775330153,0.38362754808507576,0.3214018541226122,0.3699712791552274,0.14066728181496796,0.15257197317325263,0.11815038273847028,0.27319950529641446,0.2337868975752472,0.0,0.13608208429863186,0.39319552342230574,0.29435814941490385,0.2943581494149039,0.2639376786491699
ppg_infra_lf_hf_ratio,0.0636908531801129,0.08536863408164991,0.17797150092131514,0.11529193686130823,0.12375631066096138,0.10830895624711304,0.09635489760777685,0.04923538853983448,0.005718752510963091,0.08707586049861643,0.22806911939453983,0.12937908019523672,0.09885278159248886,0.12275198331605093,0.35318365593869483,0.13608208429863186,0.0,0.5159100977193924,0.276199034949569,0.276199034949569,0.22585605464645436
ppg_infra_total_power,0.03105390609937028,0.04116336445747809,0.16128973879475483,0.05357971202069133,0.008142343881217167,0.06234635446876914,0.06275901960712976,0.318461404994957,0.23271591009175033,0.3503525887838371,0.3704487693766298,0.2288867581027065,0.01665954638658937,0.2790600314425024,0.8521242915666272,0.39319552342230574,0.5159100977193924,0.0,0.3473126554496874,0.3473126554496874,0.14463422760919112
ppg_infra_lf_norm,0.06589932457000422,0.10330544849956046,0.20341092633029842,0.1348716752710057,0.11851065711370808,0.06676743310646936,0.09617748268133737,0.008659528287820083,0.04130884309433718,0.03340444511033706,0.10082162157550627,0.06440507743814972,0.1317289609500087,0.1889705839928522,0.5880713684132282,0.29435814941490385,0.276199034949569,0.3473126554496874,0.0,1.0000000000000002,0.4525801794922404
ppg_infra_hf_norm,0.06589932457000428,0.10330544849956046,0.20341092633029845,0.1348716752710058,0.11851065711370815,0.06676743310646936,0.09617748268133747,0.008659528287820089,0.041308843094337175,0.03340444511033702,0.10082162157550624,0.06440507743814974,0.1317289609500087,0.1889705839928522,0.5880713684132282,0.2943581494149039,0.276199034949569,0.3473126554496874,1.0000000000000002,0.0,0.4525801794922406
ppg_infra_peak_quality,0.010805116042219997,0.34681628426491334,0.3678385136746306,0.42019597634018707,0.33036676522075603,0.1264044515567832,0.34401895217167977,0.08326255124138764,0.10340493352795975,0.06138006463962295,0.13123441178077608,0.05904594575743058,0.3853424558907198,0.23010419823082143,0.18160293694755034,0.2639376786491699,0.22585605464645436,0.14463422760919112,0.4525801794922404,0.4525801794922406,0.0
