,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54
ppg_bp_0p5_3,0.09811686410177443,0.21465172809723002,0.07101829210468937,0.13073188556796275,-0.09303051326461474,-0.045899566162185865,0.236727047832962,0.07361943561076652,-0.18378751968943763,-0.04579112570949667,0.0590490561742587,0.030224831384343658,-0.023940538687867635,-0.14689836787835603,-0.14805034437805908,-0.05649020548944682,0.06696588205508207,0.03169329911642965,-0.0847312759358122,0.04948712616232381,0.08455973616939556,-0.03939537397996581,-0.08447145282611346,-0.031893604545592216,-0.00895263784329639,0.0031913121630748886,0.027766683352133392,-0.05789096941402215,0.022719464688546853,0.019047039400821465,-0.05504576924229808,-0.04393151939835843,0.02291903817228333,0.11715984372849954,0.021913497534266847,0.05459505823794947,-0.030441945344316712,-0.04376836933727074,0.005693188859565712,-0.0027900581064607063,-0.05998861435012642,-0.05686076863348316,0.025346501631789697,-0.03169099723846497,0.0352170123900654,-0.13361103146050107,-0.0852150080556564,0.08159391125158981,-0.17657569467628403,0.18887800331662064,0.07277910013598002,0.18280720710871978,0.6587158680027196,-0.34470332542656057
ppg_bp_ratio_1_2__0p5_3,0.163900523052245,-0.12110146270879861,0.13247166300957447,0.09838558924671326,0.01117733519226886,0.10076251696765975,0.03224970646460721,0.06888207258612475,0.06812721709502334,0.07299703257502875,0.14418686277309842,-0.05431571301198569,0.1454967695031466,0.3061469558336827,-0.1492203832965976,-0.2339096725151659,0.09779955354545634,0.0993555702320095,0.23172183843844796,-0.0811386671552633,-0.027411703341920002,-0.11726039271708645,-0.05044756265073319,0.19625788164564228,-0.08244075615585342,0.41443645708522864,0.19914391067174067,-0.2863830239365207,0.2048110275026982,0.2743228149823599,0.13002463319798271,0.09550481592788163,0.05361219806069406,0.0076679956238491775,-0.00870131994604999,-0.1671491177241821,-0.009110538255523132,-0.16382036927085053,-0.0388911989746855,-0.016441059169181066,0.047888988167640124,-0.03787946954270707,0.028627419854103803,0.026537988954215663,0.025217993372021005,-0.03866388059414884,0.024542469815226037,0.02048512490618045,0.027618664503182094,-0.04018323911523008,-0.11845492352230688,0.16015589876672637,-0.026873728370309446,0.004855410539829921
ppg_bp_ratio_2_3__0p5_3,0.14756836402246323,-0.07959086034074896,0.202580189724971,0.043949652054094866,0.002106070848703496,0.0604812963497997,0.014071248571079815,-0.013556383418100892,0.14937856358173887,-0.08148815582869956,0.11810195816444762,-0.3216138167995689,0.06585909441158086,-0.08899208974109024,-0.10081863216967119,0.42092494871691494,-0.24541570904778512,-0.08020059677182347,-0.15478849421977003,0.4339819087181308,-0.040137590781045146,0.12054802643504438,0.050125387011813405,-0.051021764261402626,0.15009046942074927,0.016215948634555555,0.15717556831614138,0.10721813667976998,-0.07452247332191153,0.07762133382235123,-0.013083376394118384,0.033888886361332415,0.2365329481321321,-0.03241413772326404,-0.023237825518651056,-0.12425635757155372,0.02124745641004752,-0.2350133868676892,-0.019165294143690476,-0.1418529030917329,0.13780634489642676,-0.052572030445938174,-0.012901536677000024,0.06309967443748586,0.0047862827864529195,0.00816536904184706,-0.016644757066601096,0.05981210806903801,0.025698117754964278,-0.00421034374724483,-0.12953234603437036,0.10160824908652935,-0.002913168443270383,-0.006571273614620218
ppg_bp_ratio_3_5__total,0.12483212784811584,-0.09753895853907152,0.19850094163191767,0.06697592685408937,-0.0032663961126389164,-0.03480011361702714,-0.195688328370816,-0.04135879177825356,-0.09590651616736123,-0.13490697479470154,-0.2671643056293764,0.3826699148658884,-0.026263233987230756,-0.1740905630218226,0.08762165664350478,-0.24111069051651496,0.17595389939326742,-0.2208469766839956,0.21005069880279345,0.057621358299620805,0.12533657250983005,0.05786031844992737,-0.018665834292338257,0.03672462054349704,0.016244561849855454,-0.22767139736719177,-0.019507607490778914,0.03077512131171037,-0.10594822931329276,-0.0005464415870492293,0.03273062876863193,-0.05137914477024644,0.0612604742203918,-0.04275105682342384,-0.12544823931435842,-0.06510009329206057,0.06311398893723885,-0.2855785117332643,-0.014060280887465026,-0.2485810691034418,0.203606028445228,-0.10207630780353566,0.05885162287237855,0.11073701744501926,0.029554904624218885,0.12317649939932936,-0.05053632316711562,0.09838874122915169,-0.011517862195511454,-0.014643805973732212,-0.17125939563910636,0.17939091076816263,-0.025443385936879732,-0.002447615011450771
ppg_bp_ratio_hr_total,0.20078709434078448,-0.06659761828669263,-0.16574763062657563,-0.006569529702274728,-0.02868896637889575,0.09701417169212449,0.12051112868310065,0.054911581577762096,0.017497554458969496,0.13949396260540753,0.1877083194536416,-0.23265450444322033,-0.008432654166217576,0.08222144297478007,-0.043033784348567285,0.0517549395526647,-0.039841049189974116,0.11218496090948288,0.02486107257406034,-0.17827043494017308,-0.005433189792068456,0.07991812294046341,-0.10665922933408692,-0.07736118015271401,-0.12379222772014858,-0.19563368369211648,-0.09187429295582433,-0.04128110371743952,-0.11624576881411403,-0.043880682620526176,0.042596226423573635,-0.10453780704711599,-0.2802304164357243,0.00033901248274952056,-0.03301212033710533,0.3064301008276178,0.08422792038356237,-0.07635078648311185,0.10614463862629807,-0.19261834908295253,0.010638382320572966,0.05566110593004389,0.2525977200335293,0.01844152572020221,0.31273114839732385,0.3019285268808427,-0.07547029793030319,0.20922707703861648,-0.041357848612616474,-0.041801994326099164,-0.16381100323722303,0.20819022814584484,-0.05205827517209317,0.0159238738125268
ppg_spectral_centroid,0.2023196426742457,-0.12445147074313899,0.16945074335199942,0.08468259523541713,-0.004860441115566699,0.04679911200803019,-0.04780227664290793,0.02282962684234604,0.024354001278727146,-0.0047895240365597586,0.019659639127359758,-0.011020689253452284,0.046197880894869384,0.04632082887360731,-0.07622599910237862,-0.02150252485445593,0.02045002822354592,-0.0729106113503457,0.10352721948564725,0.061723391528997244,0.014214589284320858,0.03991090373078812,-0.05548796639571851,0.006493497325226853,-0.03794684450099514,-0.04576267289079983,0.044633661791390555,-0.06983992661388258,-0.05619127115063163,0.03813694558182009,0.08460412004800136,0.008053274257190574,-0.006361772519381317,0.011891524995380848,0.013053418806857932,0.029825323915343233,0.0019994894498728075,-0.10953358665672475,0.01774554189161144,-0.052584720537794644,0.057597704033061525,0.07411685693320227,0.1527050176059186,-0.05643681086602533,0.16878520519302292,0.17196021514815027,-0.12716064597643195,-0.014977888203613232,-0.01622731174459506,0.08343416823715444,0.4124770198691967,-0.7246770146457803,0.12231371584521541,-0.0032213987206125283
ppg_spectral_skewness,0.08506782248695681,0.004927263700726128,-0.3556770732018456,-0.03236264492200912,-0.044730377637958375,0.24922228106157762,0.019795095193800988,0.11993431519435367,-0.0900237673938362,0.04034234997771975,-0.03152994119067825,0.1422282610403387,-0.007345172634794976,0.03458714760415405,-0.017955596411732094,0.03777582690943122,-0.04426982535268419,0.03780669521098295,-0.03174584255832846,-0.00890883467010491,0.17919975425715942,0.11916509848149354,0.08899556973178174,0.04986531393503563,0.06503523067609002,-0.07004458914021967,0.16598771192677297,-0.031177172733352368,0.030573127262595687,0.056537063084396155,-0.07413599880360558,-0.11155940646689799,-0.029968531537083273,-0.13629073311019438,-0.0976213673853575,-0.10143331231669866,0.1338174813667561,-0.11953439468408467,0.0226762292460473,-0.06318935117847566,-0.07810031201117042,0.0012010815915000084,-0.08901163372038487,-0.26424927153907085,-0.03465708240483173,-0.21755951554392505,0.27000042184461476,0.2928516434133008,0.1854624214223117,0.09871844604591726,-0.3312786378096294,-0.3212693495279444,0.07262259517742736,-0.04468567242904714
ppg_spectral_kurtosis,-0.02207818771569518,0.05457154364605536,-0.29403243587153555,-0.027226701289874495,-0.014628147517895842,0.2913257487410868,-0.06836107514871359,0.19959781583559066,-0.11590821215727128,-0.01698469746827978,-0.07884582707440368,0.3363916023190315,0.12608456734626006,0.1635934903713515,-0.18664942123549075,0.1857463680765485,-0.11496774136966931,-0.2022638953133493,-0.023923617928313184,0.2526153322462191,0.1770684429739762,0.13456249184298363,0.06508502810032772,-0.06075820766602685,-0.03590469127918087,0.04419839538331918,-0.007545297890281966,-0.2543561833850979,0.09714165427737156,0.04723650780689742,0.10139588960675719,0.035607769775251,0.07970458387058668,-0.04841087961209499,-0.016547556384889278,0.1719480792733678,-0.1240341626199847,0.16298926415217124,0.09517941343915837,-0.012679441745413467,0.028328326654944086,0.030086304162591067,-0.05821634024367564,0.15612686603401,0.11012763853266785,0.08392779463534095,-0.18065317758966198,-0.16910694009936744,0.017433109476750943,0.0392256538548274,0.1772754056946822,0.17675478022440322,-0.04765933919699725,0.03404727639259984
ppg_spectral_entropy,0.2119701923716087,-0.01540266564081516,0.07636875133810536,-0.23490936929127632,-0.01100368477593729,-0.004745267606371126,0.04543058284427374,-0.04610852490387262,-0.04480955683685229,0.05320845502331368,0.042357089952602435,-0.10983610624796655,-0.08710232514078965,0.0029121678365185573,-0.02474366639645982,-0.0290542540607178,-0.08225896926710437,-0.10666362203682836,-0.02590321103138178,-0.13293392154277037,0.07009852391626308,0.01899420279941992,0.024721995938636873,-0.02625816774406317,-0.06999395808651176,0.011431849579872755,-0.1539349508695365,-0.07624427909058071,0.036129927243939236,-0.003521324743984644,0.04791129428907839,0.09700569062251098,-0.09592276498196338,0.0747341410420957,-0.013559854502614085,0.05110241633812029,-0.03963005376836168,0.1419544141327871,-0.11623857625128335,0.037499875166576435,0.13006103135485653,-0.1295390313806662,-0.1442045882038079,0.4150077977336753,-0.326404388162709,0.0662345758497721,-0.2353109063186482,0.059966831693555905,0.3380188625080356,0.3345940777644797,-0.24832474151937767,-0.16357915808113715,0.06479827367369578,-0.037960167527157015
ppg_spectral_slope,0.24022735067870604,-0.08228073031111821,-0.06771290139806334,0.001261360915559249,-0.030277669180535458,0.10057677689528788,0.02135844006527268,0.008333076384068997,-0.013698401323998336,0.0020455272774817282,0.022444523737219873,-0.05480536863153164,-0.015284705733854438,-0.021718784320498244,-0.021667919932206587,0.0029234473302702344,-0.012907189088141176,0.008313314613139921,0.013550603099121282,-0.06116739775605641,0.05244912497873117,0.002043198859495554,0.008150056272015246,0.04076628539551623,-0.029133535897459876,-0.11019054180778111,0.0655297634544918,-0.044175328159513826,-0.0791287608669035,-0.019504765823110448,-0.03297095188784644,-0.16933644155582508,-0.07440763166885636,0.028108350585347636,-0.02763603127458706,-0.14324262967269621,0.14713908149153082,-0.004207429087065477,0.01808113511640211,0.002690502959083633,0.12187224450001564,0.2066319573515404,0.00338765898140923,-0.4690811605981387,-0.46115858693172934,0.005969893792017011,-0.43312982169434355,-0.31194967713137406,-0.026288931687934183,-0.05591882406707473,0.04046426817344054,0.13735177218171354,-0.02793671951020152,0.016797986910128654
ppg_spectral_rolloff_80,0.1804541979095095,-0.1169603935309193,0.2041520774852716,0.062297978540355854,0.010620688327626577,-0.0061618256387378,-0.057844865869763284,-0.0526360860524302,0.04723843047912049,-0.08500306544814142,-0.03482378135339091,0.045683365285856335,0.0483324703634686,-0.008973955100683433,-0.12093286610319288,0.024397142362662286,0.009767146239424384,-0.1449128323894081,0.06387910279976032,0.1983568358399966,-0.10425411877359818,-0.01628119321630664,-0.11179545667875448,0.03531866295702207,-0.01749869292999568,-0.2866540936398705,0.07127290236217024,-0.13263371612951239,-0.20610019305928004,0.09339211782950241,0.3119414982805879,0.13208002261683763,-0.2973901797018732,0.1337919319867155,0.19247836105123278,-0.07299926941270837,0.10993364622411307,0.3089686300182706,0.19240412754443448,0.17923280685933923,-0.30319272065409725,0.07566997201067506,-0.12332059216072865,-0.04866236487688892,0.02274680235679033,-0.15339792134936403,0.1530593867080916,0.06359163167379395,0.044240540877408904,-0.005154224106375539,-0.10749332737238454,0.07246830202276952,-0.00867380114793681,0.0037944127039730297
ppg_spectral_rolloff_90,0.20625116612609581,-0.10659920639777383,0.1698674983428454,0.0269958150089003,-0.010033678059107855,0.004422327917268773,-0.06151205594699946,-0.053931815208445165,0.006786367125780796,-0.05141454312944355,-0.05861695545695891,-0.020098985175072387,0.018839827747572663,-0.12679175707606158,0.06839397388399175,0.06117314926819873,-0.00859457960117414,-0.0026575566235023003,0.09993761039818658,0.033400657411264564,-0.05161643566830141,-0.04627911338055554,-0.03448140535187047,0.11325634354591878,-0.06411438576761017,0.04014924972070777,-0.057197075392490526,-0.10712369131776428,-0.023025409994597013,0.032322681084048475,-0.007153016832867468,-0.13175155921271606,0.17256913431107307,-0.2952607169184444,-0.07787602684661293,0.5695460731556875,-0.3301770619795846,0.0856823557269131,-0.32630242795313213,0.1757699142503748,-0.02957015741610096,0.07847600339745296,-0.06115692135569631,-0.2564322918629146,0.006087445994846986,-0.10970402705562626,0.07193372767099544,0.04092436876863101,0.06107912736473963,0.009133647731244976,-0.08347684321797513,0.03709673432576373,-0.010078793443118388,0.0038635641806270687
ppg_spectral_rolloff_95,0.21886075611589764,-0.09446271089501358,0.11656958148980133,-0.010836180617533513,-0.024579342411105543,0.027865894525583638,-0.06503205633861867,-0.04726544364162647,-0.032481650605684476,-0.03304204824558102,-0.051224200136241245,-0.059196166836263595,-0.043307522322662134,-0.1704156958259074,0.1260622390072792,0.024009179669394774,-0.03758878733190329,0.1080358489640792,0.047679985973866565,-0.10526538411999999,0.10329008260961414,-0.02893129888482532,0.011943717855603608,0.14950058340870648,-0.05651584620721922,0.23055871082399476,0.06330746943226637,0.04168461276021647,0.010228112337177468,-0.00451605218056541,-0.17196960110056816,-0.3450256271656811,0.2430364870555633,-0.02022484785151299,-0.0737456546097354,-0.017763448827359182,0.06905095368076325,0.3607537143916954,0.5370232494251143,-0.20660775012008675,-0.12606512868265882,0.008955875350006887,-0.11314913071763244,0.130958588209403,0.09755677234834326,0.014061974085916959,0.027731887147143086,-0.023334503255326572,0.04609163394282115,0.032738238048285684,0.05580773967287314,0.009955914667112625,-0.009131834674373535,0.004687919995160352
ppg_spectral_flatness,0.18666962283632751,-0.016484945766266374,0.13377856220051046,-0.18579105445546054,0.014691618719843886,-0.01643371972563183,-0.08841289943717735,-0.05194766105314037,-0.05729636866566094,-0.004051999026807704,-0.11129397355071292,-0.09181548302758284,-0.13521653907401604,-0.22702201277227074,0.10618647898309223,0.1674987384366589,-0.1142573064304631,-0.14067570596460663,0.03769367222157111,-0.09717200272891097,0.43627191441679214,0.14728940208983238,0.13958527959237907,-0.0131655509737965,-0.037867766083544585,0.22503601157152028,-0.07017158832171161,-0.03259485492486194,0.3207624184745922,0.031696481450946334,-0.04762732420205361,0.2728070464048996,-0.33901346659449233,0.14279614933398543,-0.002896770644318758,0.006486657672952986,0.021795615774920216,-0.08532011492490821,-0.03662395720186762,0.020649647434782842,-0.03069983814460428,0.04471480889996779,0.03641188826013972,-0.12962399403673958,0.07609747902661126,-0.05472188967681528,0.14493834062398775,-0.006914529315137193,-0.17053937945790948,-0.1194849544710627,0.1020766712455063,0.05702388681307653,-0.03604413411861085,0.0047599129150940125
ppg_psd_peak_median_ratio,-0.22411278270471754,0.07313027492271959,0.14234914585702663,0.06078418357721359,0.018263556342219663,-0.15206695951899682,-0.06156744384715373,-0.016440102949600244,0.0056353213718973675,-0.004379257450455343,-0.04773914089049737,0.031896540216186396,-0.010849487977963642,-0.019782442431236173,-0.0006834495865268372,0.030321444367688556,-0.008806680023573276,-0.05698432937460731,-0.00860420811969784,0.0004908286017000067,0.03709340123777752,0.051499863382605905,0.015607314673367616,-0.099327236105948,-0.060052168678851124,0.11544663101168266,-0.036991342094719645,-0.03504362448802584,0.08279509784821099,-0.04873984226476516,0.0008448284687890117,0.09242875984596802,0.1023508548923232,0.055985083107500944,0.06869705832230318,-0.039980032914373236,-0.015565071177207512,0.010551108283773036,0.14120627166521235,0.05494649976494373,-0.039703318538696124,0.19446655684220546,0.24823619259495167,-0.263809785009386,0.34774984984588786,0.039975643789458615,-0.19026434773424042,-0.30992737383145996,0.22198912623898276,0.27163449149250873,-0.48114438978179236,-0.07970505569006903,0.005276894414746602,-0.06125395186010006
