feature,nan_ratio,variance
acc_z_dyn__histogram_bin_frequencies_3,0.0,27.556595272907632
acc_z_dyn__rms,0.0,2307.7768326578303
acc_z_dyn__binned_entropy,0.0,0.03512798128525239
acc_z_dyn__higuchi_fractal_dimensions_k=20,0.0,0.04146083404208493
acc_z_dyn__higuchi_fractal_dimensions_k=10,0.0,0.04105589501257238
acc_z_dyn__no._of_slope_sign_changes,0.0,9.87621843191369
acc_z_dyn__avg_amplitude_change,0.0,129.10773603354855
acc_z_dyn__spectral_coefficient_of_variation,0.0,187686.21619925785
acc_z_dyn__moment_order_4,0.0,2.2979579098483228e+18
acc_z_dyn__moment_order_3,0.0,2513586430699.0913
acc_z_dyn__mean_of_auto_corr_lags,0.0,0.03558967934254427
acc_z_dyn__impulse_factor,0.0,0.9842250895158964
acc_z_dyn__no._of_mean_crossings,0.0,11.2101634679588
acc_z_dyn__shape_factor,0.0,0.01677014299050481
acc_z_dyn__clearance_factor,0.0,2.5095957031916942
acc_z_dyn__crest_factor,0.0,0.2548496515668499
acc_z_dyn__no._of_zero_crossings,0.0,10.982200484790543
acc_z_dyn__permutation_entropy,0.0,0.07947297302099794
acc_z_dyn__higuchi_fractal_dimensions_k=6,0.0,0.016510903302293867
acc_z_dyn__svd_entropy,0.0,0.03328093704031889
acc_z_dyn__tsallis_entropy,0.0,1.8210061009439338
acc_z_dyn__renyi_entropy,0.0,9.435248712420254
acc_z_dyn__approximate_entropy_0.9,0.0,0.009729982311970035
acc_z_dyn__approximate_entropy_0.7,0.0,0.012363330685396492
acc_z_dyn__approximate_entropy_0.5,0.0,0.013166451067315206
acc_z_dyn__approximate_entropy_0.3,0.0,0.010768388175066418
acc_z_dyn__approximate_entropy_0.2,0.0,0.006628038769050803
acc_z_dyn__approximate_entropy_0.1,0.0,0.0047876980468811855
acc_z_dyn__differential_entropy,0.0,0.03512798128525238
acc_y_dyn__value_count_-1,0.0,0.0
acc_z_dyn__entropy,0.0,3.790185612726671
acc_z_dyn__log_of_energy,0.0,9.74077409447045
acc_z_dyn__energy,0.0,339421997046.9867
acc_z_dyn__higuchi_fractal_dimensions_k=5,0.0,0.009958963249107937
acc_z_dyn__katz_fractal_dimension,0.0,0.11151434116936886
acc_z_dyn__histogram_bin_frequencies_2,0.0,25.655698274883587
acc_z_dyn__count_above,0.0,0.017786355857494687
acc_z_dyn__histogram_bin_frequencies_1,0.0,24.43854013590919
acc_z_dyn__histogram_bin_frequencies_0,0.0,22.2925795287119
acc_z_dyn__fisher_information,0.0,0.44777534939495106
acc_z_dyn__first_location_of_minimum,0.0,410.01842360336826
acc_z_dyn__first_location_of_maximum,0.0,408.27901302828286
acc_z_dyn__exponential_moving_average,0.0,3258.744512928596
acc_z_dyn__energy_ratio_by_chunks_3,0.0,0.048847805577390616
acc_z_dyn__energy_ratio_by_chunks_2,0.0,0.02853510744761516
acc_z_dyn__energy_ratio_by_chunks_1,0.0,0.028902170628221834
acc_z_dyn__energy_ratio_by_chunks_0,0.0,0.04802458155013485
acc_z_dyn__cumulative_sum,0.0,559259.4013271362
acc_z_dyn__value_count_-1,0.0,0.0
acc_z_dyn__value_count_1,0.0,0.0
acc_z_dyn__value_count_0,0.0,0.0
acc_z_dyn__count_below,0.0,0.017786355857494687
acc_z_dyn__petrosian_fractal_dimension,0.0,2.0838252664339625e-05
acc_z_dyn__count_below_mean,0.0,34.66016985534951
acc_z_dyn__count_above_mean,0.0,34.66016985534951
acc_z_dyn__count,0.0,0.0
acc_z_dyn__autoregressive_model_coefficients_4,0.0,0.011384547984895509
acc_z_dyn__autoregressive_model_coefficients_3,0.0,0.08940381072094548
acc_z_dyn__autoregressive_model_coefficients_2,0.0,0.1217071161820094
acc_z_dyn__autoregressive_model_coefficients_1,0.0,0.02727286010012779
acc_z_dyn__autoregressive_model_coefficients_0,0.0,0.12540747989758652
acc_z_dyn__area_under_squared_curve,0.0,330313930776.11523
acc_z_dyn__area_under_curve,0.0,5787094.137477503
acc_z_dyn__rms_to_mean_of_abs,0.0,0.01677014299050481
acc_z_dyn__cardinality,0.0,15.589061368560422
acc_z_dyn__hjorth_complexity,0.0,0.8217871042672208
acc_z_dyn__hjorth_mobility,0.0,0.01928388995874202
acc_y_dyn__cumulative_sum,0.0,486682.6615120074
acc_y_dyn__count_above_mean,0.0,31.25434003765854
acc_y_dyn__value_count_1,0.0,0.0
acc_x_dyn__count_below,0.0,0.016336178877115384
acc_x_dyn__autoregressive_model_coefficients_2,0.0,0.10729517176329423
acc_x_dyn__autoregressive_model_coefficients_3,0.0,0.08266440969385928
acc_x_dyn__autoregressive_model_coefficients_4,0.0,0.011049849436553539
acc_x_dyn__count,0.0,0.0
acc_x_dyn__count_above_mean,0.0,33.994699706969556
acc_x_dyn__count_below_mean,0.0,33.994699706969556
acc_x_dyn__count_above,0.0,0.016336178877115384
acc_y_dyn__value_count_0,0.0,0.0
acc_x_dyn__value_count_0,0.0,0.0
acc_x_dyn__value_count_1,0.0,0.0
acc_x_dyn__value_count_-1,0.0,0.0
acc_x_dyn__cumulative_sum,0.0,434277.71794455923
acc_x_dyn__energy_ratio_by_chunks_0,0.0,0.047862280313012484
acc_x_dyn__energy_ratio_by_chunks_1,0.0,0.029751077032467155
acc_x_dyn__autoregressive_model_coefficients_1,0.0,0.02291749285146718
acc_x_dyn__autoregressive_model_coefficients_0,0.0,0.14715978717956155
acc_x_dyn__area_under_squared_curve,0.0,401107549716.82275
acc_x_dyn__area_under_curve,0.0,5503181.273598079
acc_x_dyn__rms_to_mean_of_abs,0.0,0.015928320858465475
acc_x_dyn__cardinality,0.0,14.155015684818833
acc_x_dyn__hjorth_complexity,0.0,0.7585610427831024
acc_x_dyn__hjorth_mobility,0.0,0.016281017281368354
acc_x_dyn__petrosian_fractal_dimension,0.0,1.5252312554962669e-05
acc_x_dyn__katz_fractal_dimension,0.0,0.09743234348957001
acc_x_dyn__higuchi_fractal_dimensions_k=6,0.0,0.013362420850838951
acc_x_dyn__higuchi_fractal_dimensions_k=5,0.0,0.007985911892907541
acc_x_dyn__higuchi_fractal_dimensions_k=20,0.0,0.034788829440980135
acc_x_dyn__higuchi_fractal_dimensions_k=10,0.0,0.033418790211930435
acc_x_dyn__no._of_slope_sign_changes,0.0,7.254872354131755
acc_x_dyn__avg_amplitude_change,0.0,172.31618250829746
acc_x_dyn__spectral_coefficient_of_variation,0.0,836930.3835125956
acc_x_dyn__energy_ratio_by_chunks_2,0.0,0.029243155096039985
acc_x_dyn__energy_ratio_by_chunks_3,0.0,0.04875360539727839
acc_x_dyn__exponential_moving_average,0.0,2635.1103603342185
acc_x_dyn__lin_trend_intercept,0.0,1488.9075210356275
acc_x_dyn__mode,0.0,10806.811860056423
acc_x_dyn__median_second_derivative_central,0.0,0.8223570501430197
acc_x_dyn__mean_second_derivative_central,0.0,0.06290181277690497
acc_x_dyn__mean_relative_change,0.0,61.97934040403597
acc_x_dyn__sum_of_absolute_changes,0.0,683922.9283754326
acc_x_dyn__mean_absolute_change,0.0,172.31618250829746
acc_x_dyn__lower_complete_moment,0.0,111653849.7861741
acc_x_dyn__longest_strike_below_mean,0.0,72.1331912791748
acc_x_dyn__longest_strike_above_mean,0.0,69.53490305104837
acc_x_dyn__local_minima,0.0,1.9600052889792703
acc_x_dyn__local_maxima,0.0,1.9136437799206722
acc_x_dyn__lin_trend_std_err,0.0,0.09302308631579052
acc_x_dyn__lin_trend_p_value,0.0,0.0777771254521022
acc_x_dyn__lin_trend_R2,0.0,0.04429504268655025
acc_x_dyn__lin_trend_slope,0.0,1.3821718536418435
acc_x_dyn__first_location_of_maximum,0.0,400.0215529568003
acc_x_dyn__last_location_of_minimum,0.0,400.2198537033172
acc_x_dyn__last_location_of_maximum,0.0,400.0215529568003
acc_x_dyn__histogram_bin_frequencies_9,0.0,16.57931838991848
acc_x_dyn__histogram_bin_frequencies_8,0.0,22.397610289726266
acc_x_dyn__histogram_bin_frequencies_7,0.0,25.806445579248024
acc_x_dyn__histogram_bin_frequencies_6,0.0,26.7167419920251
acc_x_dyn__histogram_bin_frequencies_5,0.0,27.771551908853095
acc_x_dyn__histogram_bin_frequencies_4,0.0,27.245720010732608
acc_x_dyn__histogram_bin_frequencies_3,0.0,28.340231538945233
acc_x_dyn__histogram_bin_frequencies_2,0.0,28.213279757660896
acc_x_dyn__histogram_bin_frequencies_1,0.0,24.44516527836387
acc_x_dyn__histogram_bin_frequencies_0,0.0,16.996639935399244
acc_x_dyn__fisher_information,0.0,0.36042590698954446
acc_x_dyn__first_location_of_minimum,0.0,400.2198537033172
acc_x_dyn__moment_order_4,0.0,5.918220719870204e+18
acc_x_dyn__moment_order_3,0.0,3552374799963.0146
acc_x_dyn__mean_of_auto_corr_lags,0.0,0.033210793091378615
acc_x_dyn__skewness,0.0,0.6500480283249521
acc_x_dyn__variance_larger_than_standard_deviation,0.0,0.03480657886185122
acc_x_dyn__var_of_abs,0.0,14710396.784263948
acc_x_dyn__var,0.0,97124211.03613739
acc_x_dyn__range_of_abs,0.0,14343.54725423276
acc_x_dyn__range,0.0,39559.77966783462
acc_x_dyn__max_of_abs,0.0,14585.492466068265
acc_x_dyn__max,0.0,11158.321118746924
acc_x_dyn__min_of_abs,0.0,3.630984549249724
acc_x_dyn__min,0.0,10806.811860056423
acc_x_dyn__median_of_abs,0.0,1007.6302223663881
acc_x_dyn__median,0.0,257.6529456639816
acc_x_dyn__kurtosis_of_abs,0.0,4.560063111807559
acc_x_dyn__kurtosis,0.0,2.5308368665851413
acc_x_dyn__skewness_of_abs,0.0,0.4205417881942677
acc_x_dyn__std_of_abs,0.0,852.113651620548
acc_x_dyn__quantile_0.1,0.0,3579.3631652616377
acc_x_dyn__std,0.0,2171.6678726420955
acc_x_dyn__trimmed_mean_abs_0.3,0.0,1029.632649421385
acc_x_dyn__trimmed_mean_abs_0.25,0.0,1047.729976680052
