PC,explained_variance_ratio,cumulative_explained_variance
PC212,0.0002989911371460129,0.9891490657615876
PC213,0.0002931698416249325,0.9894422356032125
PC214,0.00028516909236852515,0.9897274046955811
PC215,0.0002829184914844443,0.9900103231870655
PC216,0.00027568077541085476,0.9902860039624763
PC217,0.0002712095625614088,0.9905572135250378
PC218,0.0002639979526088777,0.9908212114776467
PC219,0.0002561356845049121,0.9910773471621516
PC220,0.00025085225817215523,0.9913281994203237
PC221,0.0002425898246671432,0.9915707892449909
PC222,0.0002364714375396653,0.9918072606825306
PC223,0.00022535536888707605,0.9920326160514177
PC224,0.00022247401257646405,0.9922550900639941
PC225,0.00021810579670234975,0.9924731958606965
PC226,0.0002099919881505281,0.992683187848847
PC227,0.00020852463517889095,0.9928917124840259
PC228,0.00020761408606189183,0.9930993265700877
PC229,0.0002038415502572487,0.9933031681203449
PC230,0.00019517343925076622,0.9934983415595957
PC231,0.0001927251111889124,0.9936910666707847
PC232,0.00018730341413387958,0.9938783700849185
PC233,0.0001831132278732515,0.9940614833127918
PC234,0.0001778393124183081,0.9942393226252101
PC235,0.0001761523553233084,0.9944154749805334
PC236,0.0001667020157813056,0.9945821769963147
PC237,0.00016322800778514372,0.9947454050040998
PC238,0.00016006050965809558,0.9949054655137579
PC239,0.00015824257937286008,0.9950637080931308
PC240,0.0001545843396460539,0.9952182924327769
PC241,0.00015310180722086757,0.9953713942399978
PC242,0.0001507645457212047,0.9955221587857189
PC243,0.00014619213027595567,0.9956683509159949
PC244,0.00014352568840670946,0.9958118766044016
PC245,0.00014037481568200157,0.9959522514200836
PC246,0.00013784076305994118,0.9960900921831435
PC247,0.00013338880371840063,0.9962234809868619
PC248,0.00013033150963128,0.9963538124964931
PC249,0.0001261524328256397,0.9964799649293188
PC250,0.0001245903758917045,0.9966045553052105
PC251,0.00012263228857219182,0.9967271875937828
PC252,0.00012192948419794807,0.9968491170779807
PC253,0.00011715772608726817,0.996966274804068
