PC,explained_variance_ratio,cumulative_explained_variance
PC107,0.0012253349019604126,0.9432603162466768
PC108,0.001195150810146476,0.9444554670568233
PC109,0.0011467822895554675,0.9456022493463787
PC110,0.0011419133199883013,0.946744162666367
PC111,0.0011135500291272887,0.9478577126954942
PC112,0.0011042920828958518,0.9489620047783901
PC113,0.0010909114263181502,0.9500529162047082
PC114,0.001060988707529502,0.9511139049122377
PC115,0.001030692708696235,0.952144597620934
PC116,0.0010243119071311783,0.9531689095280651
PC117,0.0010023528413904957,0.9541712623694556
PC118,0.0009910219805857854,0.9551622843500414
PC119,0.0009720952068506566,0.9561343795568921
PC120,0.0009491746746130784,0.9570835542315052
PC121,0.0009372115086731471,0.9580207657401782
PC122,0.0009109161601544678,0.9589316819003327
PC123,0.0009069201700717218,0.9598386020704045
PC124,0.0008740747321445032,0.960712676802549
PC125,0.0008648026122978018,0.9615774794148468
PC126,0.0008420365186377774,0.9624195159334846
PC127,0.000831958481137834,0.9632514744146224
PC128,0.0008114417858682267,0.9640629162004907
PC129,0.0008001468548361993,0.9648630630553269
PC130,0.000780534373220049,0.9656435974285469
PC131,0.0007651585037061253,0.9664087559322531
PC132,0.0007496126039065765,0.9671583685361597
PC133,0.0007375117635813057,0.9678958802997409
PC134,0.0007126209274795529,0.9686085012272205
PC135,0.0007108622910210628,0.9693193635182416
PC136,0.0006987459964559515,0.9700181095146975
PC137,0.0006958653336681704,0.9707139748483656
PC138,0.0006888373226607931,0.9714028121710264
PC139,0.00066665480682564,0.972069466977852
PC140,0.000634825055659698,0.9727042920335117
PC141,0.000625434598626975,0.9733297266321387
PC142,0.0006193597459073126,0.973949086378046
PC143,0.0006113363823520544,0.974560422760398
PC144,0.0005952094607586538,0.9751556322211566
PC145,0.0005864396979950666,0.9757420719191517
PC146,0.000570683637554743,0.9763127555567065
PC147,0.0005597829152494673,0.976872538471956
PC148,0.000555111800900629,0.9774276502728566
PC149,0.0005426439312090682,0.9779702942040657
PC150,0.0005384317286062861,0.9785087259326719
PC151,0.0005181970735751432,0.979026923006247
PC152,0.0005116058730363164,0.9795385288792834
PC153,0.0004970204726874401,0.9800355493519708
PC154,0.0004773466149379108,0.9805128959669087
PC155,0.0004677600202639879,0.9809806559871727
PC156,0.0004664944169574526,0.9814471504041301
PC157,0.0004562958858164034,0.9819034462899465
PC158,0.00044258335693728905,0.9823460296468838
PC159,0.0004325795008060943,0.9827786091476899
PC160,0.0004152356816689083,0.9831938448293588
PC161,0.00040914188839586086,0.9836029867177547
PC162,0.0004004413459104367,0.9840034280636651
PC163,0.00039849358632366,0.9844019216499889
PC164,0.00038279589482032044,0.9847847175448092
PC165,0.0003701173877629919,0.9851548349325723
PC166,0.00036465605136835986,0.9855194909839406
PC167,0.00036275755561801396,0.9858822485395586
PC168,0.00035979009336149575,0.9862420386329201
PC169,0.00035369932208434955,0.9865957379550045
PC170,0.00034307399733861095,0.9869388119523431
PC171,0.0003391755055213462,0.9872779874578644
