,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
acc_x_dyn__lower_complete_moment,-0.08308530874969167,0.28613151681347826,0.09521473888394262,-0.14667314864752376,0.05841765176055557,0.1019029471052832,-0.3652108303347704,-0.3470246790169863,-0.14067241482758236,-0.01741061881869418,-0.22301076166416076,-0.25737769421314555,-0.16610131334347586,-0.0826518666505879,-0.1001001372283609,0.11858793148616006,0.20703842920839008,0.2845902234656545,-0.46445487861193324,0.14170610224224028,-0.1340432294607748,-0.17686548933463678,-0.021430672764125604,-0.09190903384836563,-0.016790467515001226,-0.006551187871149473,0.004247454081614099,-0.016529016638463213,-0.006683599720957518,0.00013479482842098766
acc_z_dyn__var_of_abs,-0.08856946276024763,0.3813827636646521,0.0036320619253399668,0.013136878848681534,-0.021238757225833668,0.18805737389186108,0.09896235424506596,0.17714250281271535,0.2195106127819709,-0.19227296203553781,0.007137070324276307,-0.06808107709502209,-0.06513104379392617,0.1111614311095825,0.040154655507092685,0.026276802001060955,0.07908237835589034,0.021214314917690845,0.2510358512249625,0.16174262780213727,-0.11063744867509602,-0.17986947648349727,0.06280530098953097,-0.046062484906271704,-0.0014384433061514913,-0.04375503752470798,0.06602932653037867,0.035844903338591014,0.4013059642518199,0.5879066101626448
acc_z_dyn__higuchi_fractal_dimensions_k=20,0.25009570633675615,0.03576540214341605,0.10637866227303566,-0.2563630658828623,-0.1577852277846127,-0.0031889409696161104,-0.19884719608002896,0.1665731660448448,0.0917375470043284,0.13641078581737787,0.06968174529732679,0.018795151434940587,0.18811317731949645,0.01719935452644438,0.06721179938093318,-0.03134792905468622,0.05055692127941009,0.127049594808429,-0.001731084828362017,-0.08663058832389262,0.004631944787498773,-0.0843299405630049,0.3587342662579099,-0.022720004995287944,0.6370906817393369,0.02824688490324511,0.3323866337471167,-0.08369989692442566,-0.08253756122555873,0.0001665778592392808
acc_z_dyn__harmonic_mean_of_abs,-0.11864336997536946,0.3022663057716203,-0.024956010121551127,0.04245746440606765,0.127926084256211,-0.12316608988875502,0.14391743210552796,-0.04194482594675031,-0.11835082479199382,0.037540482705096995,0.20257362327100237,0.6522995643342139,0.0835918523995379,0.08311061519710877,0.1742000081828249,0.24899694954220583,0.18808991492877591,0.1739989391219982,-0.3066421280680022,-0.19914917550879688,0.12295516763037043,0.14226832166095463,-0.016171111164498025,-0.004254827112670136,0.026577561031410422,-0.03354576388916216,0.008236462642243826,0.011089499643980073,0.04818412289418005,0.10302634776103681
acc_x_dyn__longest_strike_above_mean,-0.155710551808382,-0.10154456368165857,0.3144577888439369,0.01725058833484125,0.24856734475426184,0.097259808826129,-0.2425463382339804,0.16151633804142299,-0.12121951476553762,0.029537293595749126,-0.07572898661443037,-0.15745817155419398,0.13373585093427742,0.6028294272800078,0.26558258542986934,0.35923348651268383,-0.23352131072480697,-0.13551502740962446,-0.028554442053119848,0.038768492974119044,0.051450961737188286,0.0642055499050769,-0.011578613132305906,0.00041380028343330355,-0.01612406894016968,0.012198751724067697,0.010943093598218458,0.015219179452019754,-0.00475956228147206,-0.015255202251112262
acc_z_dyn__local_maxima,0.21383683215329083,0.012200779301090809,0.3385931682019427,-0.10543698371650558,0.030264110825363948,0.12376084764785776,0.3145352334910219,-0.12621115731026578,-0.13597080448250268,-0.02753594290213752,-0.02189876015857533,0.01579777636329061,-0.023689081885942584,0.0005386213225420561,-0.22327782092637735,0.12108801914799439,0.11590829855943434,-0.32970206402399427,-0.028651624545855507,0.04350203427615552,0.020985642828512827,-0.012508309997641532,0.044560804457309935,-0.11161886352046764,0.06837836325788575,-0.6819542497198853,0.015530812388486035,-0.02742688750818216,-0.00973551317705945,-0.03870294852627485
acc_x_dyn__quantile_0.7,-0.11353699710947425,0.26893023501919366,0.09845964952944812,-0.14538623829975028,0.177872573013555,-0.05294561353802249,-0.285955184936864,-0.26649258972038775,-0.2967692003160724,0.0812162673664624,-0.2593034998038791,0.086910142269075,0.10375150326660361,-0.16284306357329956,0.027524359371312625,-0.10395888125276488,0.06281824857851878,-0.07663264424288442,0.6022711515839959,-0.21296498833234842,0.1283356199440039,0.1552159378844712,0.0016233189717288403,0.12244606184986663,0.030677719440476973,-0.019231706819094807,-0.039156686394233906,0.0328587213055593,0.02638234343866559,0.01832760029115526
acc_y_dyn__sample_entropy,0.1593105718350965,-0.019326565037739607,-0.3299224058268002,-0.10852461091622904,0.3405809034448984,0.3178083562812302,0.012242254903527067,-0.09038899411554141,-0.01661206530001021,0.14055653925908787,0.15107638525199768,-0.03273277482292931,-0.017791754414496392,0.14804097709492392,-0.0733494742048936,-0.10850861477984226,0.0252124227055577,0.0383541836125925,0.013931847687758072,0.05216808507814518,0.6433023082334607,-0.3448104644477444,0.0408504192065013,-0.03559486710692522,-0.05808133032023864,0.012586335259003253,0.001595401640991946,0.0012648772066672,-0.027031234468053743,0.005591929596761586
acc_z_dyn__local_minima,0.21458394907313122,0.008342946053883617,0.3402226009661465,-0.10271433733326867,0.022551908908704118,0.13012232104262095,0.3038314850187278,-0.15376444396469807,-0.10964675843683397,-0.08382056365677196,0.016414959201285172,0.016847446061549375,-0.05220777428600656,0.01525431035435792,-0.19131382757557028,0.15479322137319873,0.19443023036285353,-0.25396299461671124,-0.00737870544006888,-0.010142721311517236,0.0018167606152550376,-0.027036276224753037,0.013728716094200228,0.12831637095742054,0.021146859271384384,0.6993825488034623,0.024171823044394494,0.012891993518138394,0.02573659161113032,0.014888788050247329
acc_x_dyn__higuchi_fractal_dimensions_k=20,0.244735634131249,0.12678647669652973,-0.1897209787107978,0.12411658186130221,-0.21101499963120013,-0.05763642136808859,0.0023015424778989255,-0.05166701194039319,-0.2101416495159067,-0.07291053078026909,-0.06128526887392671,-0.09742363713866979,-0.021483240552162466,0.166093104610654,0.1527512473348673,0.0012394598254569752,0.013797212974060322,-0.07345520644505078,-0.05632879314135293,-0.09151116274450516,-0.0035240559689308647,0.039644224408324866,0.5941873045468893,-0.008336470494845035,-0.07760356896004925,0.014695707542478452,-0.5151275656256878,-0.1639769203388915,0.1782734599874345,-0.07675317119015121
