feature,pca_energy_score
acc_y_dyn__approximate_entropy_0.1,0.037236802940137904
acc_x_dyn__lempel_ziv_complexity,0.03721632138624352
acc_y_dyn__kurtosis_of_abs,0.03719189522183608
acc_x_dyn__ratio_beyond_r_sigma_1.5,0.03712459407025898
acc_z_dyn__histogram_bin_frequencies_1,0.03700569161921402
acc_x_dyn__peak_to_peak_distance,0.03694143600900467
acc_x_dyn__median,0.03693591264348973
acc_x_dyn__approximate_entropy_0.7,0.03690892145627118
acc_y_dyn__lin_trend_p_value,0.03686775871295387
acc_x_dyn__histogram_bin_frequencies_8,0.03684813338608283
acc_z_dyn__skewness,0.03682865733472291
acc_y_dyn__ratio_beyond_r_sigma_3,0.03681092774715127
acc_y_dyn__histogram_bin_frequencies_6,0.03677215322496798
acc_x_dyn__quantile_0.9,0.036709894943997484
acc_y_dyn__ratio_beyond_r_sigma_0.5,0.03662954275170489
acc_y_dyn__number_cwt_peaks_5,0.03661891731658098
acc_x_dyn__energy_ratio_by_chunks_3,0.036583792911159485
acc_z_dyn__kurtosis_of_abs,0.036581888400177995
acc_x_dyn__approximate_entropy_0.9,0.0365750299297853
acc_y_dyn__moment_order_3,0.0365550800793392
acc_y_dyn__histogram_bin_frequencies_3,0.03650822185939598
acc_z_dyn__number_cwt_peaks_1,0.03649230872896569
acc_x_dyn__trimmed_mean_0.25,0.036378426023202515
acc_x_dyn__autoregressive_model_coefficients_4,0.0363308102149644
acc_x_dyn__count_above,0.03627037162544812
acc_z_dyn__energy_ratio_by_chunks_3,0.036168405489534
acc_y_dyn__energy_ratio_by_chunks_3,0.036139977296721325
acc_y_dyn__ratio_beyond_r_sigma_2,0.03608862187065199
acc_z_dyn__count_below_mean,0.03603571460640463
acc_x_dyn__energy_ratio_by_chunks_1,0.03599599933474062
acc_z_dyn__binned_entropy,0.03596548128609332
acc_z_dyn__histogram_bin_frequencies_6,0.03588001703583154
acc_z_dyn__ratio_beyond_r_sigma_1.5,0.035869442794099066
acc_x_dyn__katz_fractal_dimension,0.035776054105016775
acc_x_dyn__trimmed_mean_0.1,0.03573256257721092
acc_y_dyn__crest_factor,0.03573071287125702
acc_x_dyn__histogram_bin_frequencies_2,0.03571298155052076
acc_y_dyn__number_cwt_peaks_1,0.03567810548433495
acc_z_dyn__lin_trend_p_value,0.03566430034994205
acc_z_dyn__ratio_beyond_r_sigma_1,0.03564580578865387
acc_z_dyn__ratio_beyond_r_sigma_3,0.035563380690717065
acc_z_dyn__energy_ratio_by_chunks_1,0.035462095382573514
acc_y_dyn__autoregressive_model_coefficients_4,0.035419677769592636
acc_y_dyn__signal_to_noise_ratio,0.03537033313117244
acc_x_dyn__lin_trend_p_value,0.03531865045814515
acc_y_dyn__ratio_beyond_r_sigma_1,0.03530437054223241
acc_z_dyn__histogram_bin_frequencies_2,0.035264518613546514
acc_z_dyn__median,0.035253763298903756
acc_x_dyn__energy_ratio_by_chunks_0,0.03519250772249598
acc_x_dyn__histogram_bin_frequencies_6,0.03516181805885118
acc_y_dyn__kurtosis,0.03512170560572164
acc_z_dyn__skewness_of_abs,0.034940939624952455
acc_z_dyn__ratio_beyond_r_sigma_2,0.03493392418515786
acc_y_dyn__skewness_of_abs,0.034830593152943644
acc_y_dyn__energy_ratio_by_chunks_0,0.03482024666773611
acc_z_dyn__crest_factor,0.03478545992082644
acc_x_dyn__histogram_bin_frequencies_7,0.034689156790577345
acc_z_dyn__rms_to_mean_of_abs,0.03463947440195189
acc_y_dyn__energy_ratio_by_chunks_1,0.03463490190333593
acc_x_dyn__count_above_mean,0.03459997133762922
acc_y_dyn__first_location_of_minimum,0.034593875724189455
acc_y_dyn__benford_correlation,0.03459323938606491
acc_x_dyn__ratio_beyond_r_sigma_3,0.03458399804899212
acc_y_dyn__binned_entropy,0.034580501344307436
acc_z_dyn__energy_ratio_by_chunks_0,0.034540441477588925
acc_x_dyn__signal_to_noise_ratio,0.03441800980555695
acc_y_dyn__histogram_bin_frequencies_2,0.034405982279550176
acc_y_dyn__ratio_beyond_r_sigma_1.5,0.034388554549774394
acc_y_dyn__clearance_factor,0.034347028685995755
acc_y_dyn__median,0.034326388029505585
acc_z_dyn__kurtosis,0.03431377441726697
acc_x_dyn__ratio_beyond_r_sigma_2,0.034292376008075415
acc_y_dyn__histogram_bin_frequencies_7,0.03426137484308839
acc_z_dyn__ratio_beyond_r_sigma_0.5,0.0341262998981634
acc_y_dyn__rms_to_mean_of_abs,0.03402003613081552
acc_x_dyn__differential_entropy,0.033971352449923324
acc_z_dyn__energy_ratio_by_chunks_2,0.03390040887025242
acc_x_dyn__kurtosis_of_abs,0.03386692656209868
acc_y_dyn__first_location_of_maximum,0.03380327922849869
acc_x_dyn__skewness,0.033744381209141854
acc_z_dyn__adf_pvalue,0.033723264654542076
acc_z_dyn__last_location_of_minimum,0.033714177258033245
acc_y_dyn__energy_ratio_by_chunks_2,0.033566954121659144
acc_y_dyn__ratio_beyond_r_sigma_2.5,0.03355965490504221
acc_z_dyn__signal_to_noise_ratio,0.03354805320803021
acc_x_dyn__benford_correlation,0.03354672307655932
acc_y_dyn__median_second_derivative_central,0.03344799161998487
acc_y_dyn__count_above_mean,0.033414502195944946
acc_y_dyn__skewness,0.03334573354275979
acc_x_dyn__winsorized_mean,0.033295882543445024
acc_z_dyn__adf_teststats,0.033254327288262574
acc_z_dyn__ratio_beyond_r_sigma_2.5,0.0332358584031481
acc_x_dyn__last_location_of_maximum,0.033113637436780696
acc_y_dyn__adf_pvalue,0.032936448045606394
acc_z_dyn__benford_correlation,0.032850544428100065
acc_z_dyn__clearance_factor,0.0327721401016141
acc_x_dyn__energy_ratio_by_chunks_2,0.03275013933087984
acc_x_dyn__last_location_of_minimum,0.03270307051961197
acc_z_dyn__first_location_of_maximum,0.032701190712128604
acc_y_dyn__winsorized_mean,0.03263342882591671
acc_x_dyn__stochastic_oscillator_value,0.032482484825331746
acc_y_dyn__trimmed_mean_0.25,0.032464699736145304
acc_y_dyn__ratio_positive_to_negative,0.03243822833741919
acc_x_dyn__ratio_beyond_r_sigma_0.5,0.032431194529605974
acc_x_dyn__autoregressive_model_coefficients_0,0.032373354941647454
acc_x_dyn__adf_pvalue,0.03230820091339572
acc_x_dyn__adf_teststats,0.03230491793371817
acc_y_dyn__mean_second_derivative_central,0.032129928594570506
acc_y_dyn__autoregressive_model_coefficients_0,0.03211419062658239
acc_x_dyn__kurtosis,0.03207802955012667
acc_x_dyn__ratio_beyond_r_sigma_1,0.031891539867604325
acc_x_dyn__shape_factor,0.031886166333691165
acc_y_dyn__adf_teststats,0.03184384308348758
acc_z_dyn__stochastic_oscillator_value,0.0316332639486578
acc_x_dyn__median_second_derivative_central,0.03152822968367988
acc_z_dyn__trimmed_mean_0.1,0.03148217346663442
acc_y_dyn__trimmed_mean_0.1,0.03141018144313492
acc_z_dyn__mean_relative_change,0.03137619515895872
acc_y_dyn__stochastic_oscillator_value,0.03134576244403246
acc_z_dyn__autoregressive_model_coefficients_0,0.030996282462912736
acc_z_dyn__ratio_positive_to_negative,0.03096946784117353
acc_x_dyn__ratio_positive_to_negative,0.030758332120348245
acc_z_dyn__median_second_derivative_central,0.030642586407217332
acc_z_dyn__exponential_moving_average,0.030579148546924416
acc_z_dyn__mean_second_derivative_central,0.030373982637711336
acc_x_dyn__ratio_beyond_r_sigma_2.5,0.03028297208274497
acc_x_dyn__mean_second_derivative_central,0.030282936859598087
acc_x_dyn__skewness_of_abs,0.030058333350594102
acc_z_dyn__winsorized_mean,0.02975825606196141
acc_y_dyn__lin_trend_slope,0.029744731942020767
acc_y_dyn__ratio_positive,0.029471631410326767
acc_y_dyn__exponential_moving_average,0.02915453604901376
acc_x_dyn__ratio_negative,0.028547941198297608
acc_z_dyn__ratio_positive,0.028529506680790594
acc_z_dyn__lin_trend_slope,0.028438271195689674
acc_x_dyn__ratio_beyond_r_sigma_5,0.027939784056764755
acc_z_dyn__ratio_beyond_r_sigma_5,0.027888834999557008
acc_x_dyn__exponential_moving_average,0.027472187221759602
acc_x_dyn__lin_trend_slope,0.02679680878044553
acc_y_dyn__mean_relative_change,0.026708466034491608
acc_x_dyn__mean_relative_change,0.026358839163784904
acc_y_dyn__ratio_beyond_r_sigma_5,0.025046312407898622
acc_x_dyn__adf_usedlag,0.02464736718729414
acc_z_dyn__spectral_coefficient_of_variation,0.02190364368370671
acc_z_dyn__adf_usedlag,0.021683645929538115
acc_y_dyn__adf_usedlag,0.021374398701037675
acc_y_dyn__spectral_coefficient_of_variation,0.019424225722809815
acc_x_dyn__spectral_coefficient_of_variation,0.018423054304778887
