,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
ppg_red_p1,-0.34196983605515924,-0.005419033408674515,0.032400428112331334,0.010894757652708318,-0.07061444271882777,0.025077272733016225,-0.07093223287992563,-0.0016016236272162864,0.030966669536797758,0.039278428797282314,0.027658857672341455,-0.31170187699966695,-0.018752794798255975,-0.38998297060035003,0.15909246239130873,-0.003660460017270995,-0.029276786920092574,-0.0808813140549914,0.5770762194654268,0.2125731880043447,0.3947787534518008,0.16394922857144578,-0.07837390619502949,-0.13618827054621482
ppg_red_p5,-0.333605658914469,0.07780808713398989,-0.008677377396591489,0.04229342488936181,0.00222206635280674,0.055574682405878435,-0.05148766126620906,0.08564654889831878,-0.0712014800429104,0.28301409107469877,-0.11511680290442244,-0.12478127094400804,0.10653083385895554,-0.11414231704795103,0.17680758624460768,-0.011353135294679007,-0.011119950694515185,0.19635499753480432,-0.6224791209088305,-0.23911325922856833,0.4256376203576778,-0.011080965027973767,-0.008277551863688531,-0.18237415778848048
ppg_red_trim_mean_10,-0.025741972320711314,0.0038546888445938165,-0.591251058015041,0.01773996887667649,0.21901943085939876,0.022570204157435513,0.09059358653171566,0.20565752264704065,0.3575399273329877,0.016215230839370685,0.13321820011755997,-0.13053014258824355,-0.21315927033973872,0.5041248621159572,0.16837974035586473,0.009813658075758538,-0.031858349541956016,0.07378213494528657,0.1051904166357824,-0.018236802536564074,0.196389502257408,0.048315317677977615,-0.016299581787851358,-0.022668273182466538
ppg_red_crest_factor,0.04494820554665781,0.3806109414537835,0.028895951462837504,0.1039082672990823,-0.04177978522194469,-0.018964591868737755,0.03738222992841571,-0.04577624774112778,0.05001125991263209,-0.24978113175698363,-0.5314688479662668,-0.12587328955257526,0.0037688375139281324,0.09714764472065981,0.24791159913129823,0.49149093655378867,0.1498896409161563,-0.18707389892783632,-0.020215391965198684,-0.023170032821656736,-0.04250711237670117,0.012465380038618187,-0.31422409355680986,0.03326484628808805
ppg_red_shape_factor,0.003820789714590396,0.38866218890591536,0.024283891216046266,-0.008756950486738737,-0.06563794206540034,-0.16040881281107133,0.22105443440481445,-0.015263425553824775,0.015631161324606468,0.10642716697171282,0.3766271477828242,0.1870938018405486,-0.16281733118468436,-0.010523883098975041,-0.1804566838613413,-0.10035889397559199,0.18140673154900824,-0.5231594456464254,-0.21759484957037686,0.21660601842645225,0.2355575930165711,0.10057698844566013,-0.2118209381120801,0.010114616601253533
ppg_red_impulse_factor,0.024161051213797496,0.41474334066417395,0.028026068823291932,0.06950975401818538,-0.04602963003134732,-0.11396543916507636,0.14643979809478377,-0.016752413857376323,0.0382831633356821,-0.0667036530310498,-0.05119888187938146,-0.05297012480218464,-0.010780908441412117,-0.011188856497335945,0.08516912383771262,0.055741256196131975,-0.023973313540029618,-0.02559835399215883,0.02991906976278124,0.08078826376070343,0.03610113295885097,-0.057037078734685366,0.860950494941974,-0.09255508909868589
ppg_red_clearance_factor,0.01831277205484994,0.38402814876546554,0.014073822306881603,0.008313288315556064,-0.02892071290382099,-0.1870661714009474,0.24646138008840737,0.024434702110729983,0.00012919514346657732,0.17025734106174015,0.3444033354081908,0.0628367256816292,-0.051912055921978416,-0.20079191190759876,0.06931155423737709,0.2766757655387567,-0.3925597286562089,0.4383857833125673,0.12566956076426014,-0.17115231046052196,-0.17858942521315113,-0.05931768638056371,-0.2217849143734917,0.05349198436569661
ppg_red_mean_cross_rate,-0.07919002854682355,-0.0996943199030323,0.023988863243414503,0.6689179768561946,-0.05113824687352471,0.03651990434263336,-0.07453503286888524,-0.008898961109791796,0.04798942879267712,-0.08843506859952009,0.01777463056997272,0.04091624060028637,0.08640505815374797,0.07101864000842988,0.036489107619097724,-0.0633890659309801,-0.6159187107867788,-0.33220723207191727,-0.06743642177309297,-0.008921530039654662,-0.012975671988529723,-0.026620345171364208,-0.014945669227833051,0.02759865179651077
ppg_red_tke_mean,0.3344471692268124,-0.03448323679528757,-0.03582280200814305,0.11901811925754271,0.03309327800281448,-0.030839859191089884,0.031818460465144006,0.029226859750236978,-0.09013281087932053,0.3050634348560197,-0.0025767553472303578,-0.22173467365676652,-0.0033737731086043244,-0.14165599776037768,0.16417848406022925,-0.0655579413010249,0.11200781221502683,-0.1737663810782644,0.06650546963878369,-0.4240611058001144,0.048440734035264534,0.3787603751688247,0.10713950458274803,0.5306860383652543
ppg_red_tke_std,0.28871096440284616,0.055757159267424874,-0.07413375137515556,0.10760830496339213,0.1011654269945458,0.08449164554287099,-0.08942537739348656,0.07880648807752652,-0.21968762208856416,0.6093517323768101,-0.10632774399624274,-0.21185710079710174,0.10936110717035516,0.09590835910462667,0.004440380785143645,0.09089959427883887,-0.043560772585002704,0.004151626601985856,-0.019473437745757563,0.5202059150891601,-0.19871601129144253,0.026086681853590213,-0.036034651213615765,-0.21284722619344346
ppg_red_ddx_mean,0.027059699314926834,0.0004425801708529991,0.3814081058143289,0.005513549767829412,0.4449225993375654,0.18377123591622302,0.10651224930401364,-0.24953733099653455,0.685416636884309,0.23328290816361075,-0.09529323325275685,0.05708868152080326,0.014161348373597997,-0.09597667488045875,-0.043135533210272255,-0.012425596103419126,-0.0041816099295196646,-0.0032251746439037857,-0.014270120932057827,0.00990709093630723,-0.010319943125180359,0.0014447419013202648,0.0005356510477429739,-0.0009079558007685632
ppg_red_ddx_std,0.33713710107075223,-0.02296544903744507,-0.03251246587794781,0.1149013023976313,-0.004104241174312501,0.02433550451853394,-0.04805482408504392,0.004233896422650055,-0.03884679915882268,0.07057507664736547,-0.10441426926359652,-0.0013666127762516028,-0.481184923301573,-0.2311660422922927,0.14539464870098914,-0.15890434797814673,0.04611705555499523,-0.03587601075499359,0.057539777860427785,-0.07598230886966828,0.18910715353755805,-0.6839305672932297,-0.05784690316745944,-0.022084912588343896
ppg_red_dx_kurtosis,0.07698917909132587,0.2991351438576212,-0.0412115059183994,0.010143226113261064,0.11342364125099075,0.284462520489382,-0.500270352928119,0.052680599503292104,0.02809208188897473,-0.15705197701430415,0.13451280430982424,-0.3485027069390963,-0.17056264418909986,-0.07786068345709518,-0.5571369596374621,0.1293280642924815,-0.06425719317613603,0.029755846526064653,-0.06721410742101495,-0.1291130009880565,0.015599161182523835,0.041866356567347135,0.01785303696871623,0.012622228870546613
ppg_red_ddx_kurtosis,0.12185332724990688,0.27424836743889563,-0.03448769541578655,-0.03171196674645521,0.12896564927497756,0.2897274815524196,-0.48798098216595903,0.07358107734312982,-0.002321596496016692,-0.08355194361687447,0.232330610469365,0.42091602517054366,0.23182821077453467,-0.06541117872500116,0.4960984232422397,-0.1005448925076682,0.07574580196156751,-0.006575001314146891,0.05251260985033485,0.031474135845100906,-0.008184396291523306,0.03947206794187786,-0.009517574220340433,-0.002515097465736332
