,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ppg_infra_trim_mean_10,0.18537255689190915,-0.09922998371200605,0.3964853905478701,0.14300034820128998,-0.13866351329618715,0.27311065246638927,0.087520663466267,-0.27650291066963745,-0.22921667855905933,0.4710322725943664,0.5484924779527356,0.14636493899396605,-0.01222238952934159,-0.037910010303301524,-0.014889500010688847,-0.037623377386321544,-0.00041391932232776306,0.009837725173953264,-0.013967733053789573,-0.003966608018966348
ppg_infra_dx_kurtosis,0.334644070011229,-0.045358292831347735,0.10614691936045342,0.08320499372707245,0.14063554828130667,-0.07654254373371007,-0.04316263408405892,0.16272370296626626,0.04915725253822281,-0.12097277604340378,0.0720564819993556,0.08703691292027109,0.8054208958030302,0.2622468675207732,-0.25558369699963873,-0.013549582520295035,-0.01446573681416101,-0.01697087603549338,-0.015387024953277805,-0.015852553630542707
ppg_infra_mean_cross_rate,-0.0675254066677805,-0.3201681021368602,-0.31284797372190704,0.4780875330335819,0.08061769103957224,0.0881142701650796,-0.13150315440985738,0.021113327331648436,0.02916016144416603,-0.008474629592888114,0.10229257276313106,-0.005272088061459756,-0.010007538414105151,0.03617883146431508,0.05277497871762238,0.031460750027810715,0.7175206934074162,-0.051995166473768145,-0.014412682733937102,-0.012002883439847343
ppg_infra_signal_energy,0.3375376944143206,-0.08141267950693515,0.019335256433362803,0.08816440176935719,-0.012342729920112048,-0.16159070280960192,0.07589078425550563,-0.18759077896382828,0.10164859315235002,-0.030942379091659762,-0.1392472749321907,0.02855390878927605,-0.16332708380015848,0.21141285802837717,0.13340848909783162,-0.31636115882785126,-0.028475649704176813,-0.3318433454884502,-0.3420524567302539,0.5961549865068032
ppg_infra_zcr,-0.030634450220189798,-0.25872240304897004,-0.35380363601746123,0.46376006988169904,-0.04582390903991419,0.24206129656246694,-0.3052738815931284,-0.058594647257881986,0.024957965975223716,0.09883179468898141,-0.08509190158380564,-0.02442642131089467,0.01790210058168791,0.013894532639461516,-0.04567448447137805,-0.022663478032305617,-0.6391576351557916,0.0659615783282682,0.017285531930687947,0.006435327680503107
ppg_infra_mad,0.021176203138511127,-0.31638609394222933,-0.32725593719488427,-0.40338418584092056,-0.16128237245070579,0.18534855605942352,0.20270412915940672,0.12890179066373247,-0.252261976061012,0.010603154085864222,0.11383971382096279,0.022230984979864744,-0.009165452565089636,0.5671720376991761,0.24428641371457818,0.20259972881992627,-0.03885057405709557,0.09366926190039988,-0.025383961776335808,0.030739744920203732
ppg_infra_ddx_kurtosis,0.24651855863636857,-0.07245312566849438,0.0944275772535996,-0.02123696505499828,0.22807910461307138,0.03764470850517492,-0.029340266854208766,0.702214386073929,0.215287474550023,0.5135067393765961,-0.07913144706297874,-0.1450395957202222,-0.19345662338738967,-0.011468010773152945,0.04160767608116928,-0.021192162460608926,-0.007390955094942525,-0.007622556836873193,0.0023432517130903673,-0.00410193676084847
ppg_infra_skew,0.02232460753799551,0.2979548259743881,-0.37536271272896454,-0.02795050987829488,-0.27521398254708523,0.07219395709230882,0.2145314020625486,0.039929554299991475,0.6404669782491966,0.06424152334230795,0.3324134038424313,0.3141271336551606,0.07054671927866013,-0.07912206399932264,0.06478171243576754,0.0016216986279589212,-0.022022046445773654,-0.02899223127128995,-0.00673788465418377,0.012904668908136826
ppg_infra_mean,0.0032063266809286587,0.07589818629025753,0.26568578507873314,0.36960861407954343,-0.30224825014630846,0.4479567531136693,0.5172003211974222,0.2503322333519746,-0.02600698965773148,-0.2907305405253512,-0.26866360973046194,-0.07501367541397602,-0.009238380213894098,0.020725301201771247,0.015209402561262953,0.02877748092745848,0.0010853438719864972,-0.01423774520943936,0.007609172134124388,0.0020299610974984558
ppg_infra_median,-0.013941425527224112,-0.06603416525654951,0.01607478713054175,-0.19584417848564012,0.6729179777986422,0.5415592843739141,0.15640328887413954,-0.311601292304635,0.27780574457921287,-0.04375743462568448,-0.09286151296452398,-0.007888784983757257,0.02223525551985982,-0.007844439741635713,0.02634898507533346,0.004919588271129994,0.002734647873839226,0.00619897146510303,-0.007557101899455088,0.003962363696671172
