,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
acc_x_dyn__harmonic_mean_of_abs,0.21658026081228612,0.13295928077155325,-0.16203620950000666,0.049668534720722,0.10215451634121682,-0.0642326736311872,0.003034155722998949,0.19114533302265244,-0.10501553751287156,-0.26495892689421024,-0.009761481457140734,-0.016744450946879298,0.059079519867980934,0.1485224949268424,0.22395336455711337,0.26889219586637253,0.46416789242650314,-0.02872655482375746,-0.09888496583530347,0.20126032099694077,0.5730227822244277,-0.0021617431322138304,-0.08380930178597613,-0.13098542081791528,-0.021939270845413257,0.012983055396239784,-0.03232819714247612,0.046899542686940146,0.054530518219205557,0.0005333656006559562
acc_z_dyn__sum_of_absolute_changes,0.2443954220827663,0.13974108279216466,0.16563940413945136,-0.03642247273106639,-0.0031602260039080457,-0.0684289198077613,0.009477513758830682,0.02055785232149322,0.008585667314892647,0.12205682066411622,0.014482987085787692,-0.03911670652073153,0.004836564003986612,-0.0060335946005335905,0.15139672535506005,-0.05999549301905604,-0.18021106221391833,0.2012048829994342,0.13450368803190837,-0.09836395642836114,0.058486452564038977,0.011581880048296916,-0.20242323199271142,-0.18406874647093477,-0.402208958237922,-0.11185517001288767,-0.3217912098257822,-0.053503458065930654,-0.054319406205070954,0.6170087730168979
acc_x_dyn__approximate_entropy_0.1,0.13328920633090952,-0.17762385994088645,-0.2982429218895604,0.26783739180981486,-0.25020803832448535,-0.01668031802184791,-0.036767191143286485,0.026211530758432317,0.35680462657496353,-0.007762957750692348,0.3243404416626236,-0.38090412202959245,-0.28165664671805946,-0.36742228440036667,0.1475223171989614,0.19610762655225183,0.03861360664634146,-0.01067495721795717,-0.012371125604122213,-0.08682239233924204,-0.08465273038743147,0.05047999504280216,-0.08974286949938838,-0.12110298733965343,0.04994020734803851,-0.15791308015310482,0.05407721701242375,0.0005725627602578552,-0.028024284638672563,0.0009974073025170256
acc_y_dyn__katz_fractal_dimension,0.17489633041814825,-0.27194316016138037,0.16008128762248697,-0.09016307858432562,0.12130092703255618,-0.040785224410485675,-0.017980753599886316,0.028013236125637758,-0.010041318773888207,-0.01766623470603981,0.08303251793864305,-0.404719563576825,0.14264190609729066,0.250303540175014,-0.2931148239943863,0.06250563159655917,-0.00040027378791273113,0.21682575345489616,-0.20013357269694715,0.017885812637684236,0.011907774065458182,0.5379378240066482,0.32641867099240884,-0.0486892712694243,0.008363544228775902,-0.05635769968793042,0.0636642479985481,0.018626634593562275,0.00578920176942578,0.08237090191713103
acc_x_dyn__quantile_0.6,0.17383694802173214,0.10319061472812192,-0.010118478971691613,-0.13415739412310332,-0.36674808389305424,-0.025324930870199894,-0.09256298337881944,0.31744584503743517,-0.2727471997788699,-0.44920596642959165,-0.020427093906330306,-0.01762517619571489,0.09523183434862798,0.12005954659848397,0.1817892443899955,0.15739143883333725,-0.027059880131939586,0.10365523965269122,0.17598478807909873,-0.1628321415647226,-0.3978586423265962,-0.012690532811918086,0.1033943947898512,0.1480316536580279,0.0001374151220389085,-0.10737557175103384,0.057228373842496134,-0.19471888214400385,0.15702751009822208,-0.030711303767354058
acc_y_dyn__harmonic_mean_of_abs,0.1966733000604191,0.14491522170706597,-0.03670877934096529,0.023286335030531468,-0.08819926916388608,0.21385011987641714,-0.020117813272809433,-0.22416561915343536,-0.08283325320818331,0.009589967533990251,0.38034954040032964,0.3488882368973992,-0.3903951535713898,0.21120194219047675,-0.33469097650918633,-0.029825559980946048,0.29822831832113283,0.2420929627450076,0.20205868615944095,-0.08066934898919102,-0.03239279604546956,0.07322594927603546,0.016364970189412572,0.007528440330082765,0.15865617793606618,-0.0747507616066502,-0.1265781626453537,0.04407735076153531,-0.02090925634850434,0.01474502190547748
acc_z_dyn__approximate_entropy_0.1,0.1423690079240951,-0.184878074425261,-0.25243580891124673,0.271422755307381,-0.2643557432025655,0.02780079206750486,-0.028484279378968462,-1.2405781830554147e-05,0.32115173156074167,0.05636469021593219,0.010222554607395937,0.35562613962050943,0.5673558575008446,0.2653391561768935,0.026847476774409417,-0.2188993773415585,0.000722309081270898,0.025523215127535078,-0.024594810801678402,-0.061566146221080705,-0.007893291961870403,0.14744599963474198,-0.16381881389182162,-0.05393284898976357,0.03718480856723062,-0.05621527997879346,0.04138724837939653,0.0035601984314911875,-4.601832632571765e-05,-8.226108797979747e-05
acc_x_dyn__sample_entropy,0.1725640158561523,-0.29969201222576114,0.07966948403178332,0.00803763839488519,-0.025600336832172322,0.06575439290443523,0.012414354620967207,-0.0787901565038851,-0.0964391172326864,0.0901584564825364,-0.14806409495446132,0.2614681744010248,-0.09131765775926712,-0.19027791407147812,0.11474485868707805,0.34241081924230166,-0.06107055519029188,-0.26899500317976327,0.31823033352734287,0.07063518430926075,0.06005250387479764,0.48888003909333577,-0.11290649278819873,0.30201348462389693,-0.07988128783079852,0.2039192826701928,-0.04753306720221593,-0.008456163698624744,-0.027564998861710127,0.002661479799939461
acc_z_dyn__quantile_0.4,-0.13844343931208083,-0.05873505061666643,0.23540830515715933,0.3904558666405895,0.23098646691062116,0.20430781096839126,0.03138545491470966,-0.2062897068515193,0.16640074705494726,-0.5704258689651212,-0.038716928828079644,0.031267182051252666,0.04193743712091954,-0.05432410367074516,-0.022733652854004787,0.039357850843621006,0.005225524335990298,0.1375751001426226,0.0872886742125532,0.39438368892260534,-0.2371342013600421,-0.009314128823064982,-0.06326935110538169,-0.0795048251033085,-0.11295532478083976,0.01677075113759171,-0.01716533073199446,0.007805945226445586,-0.013577867859147785,0.07881031415084601
acc_x_dyn__quantile_0.4,-0.16427449963434818,-0.08416754634195402,0.2652972951805311,-0.1328992742318121,-0.5690436617699922,0.0447661873617921,-0.09037393356096995,0.0967627104763836,-0.05264555664175057,-0.19656872347503307,0.018302379944547774,0.0014810881807078707,-0.007096587483189768,-0.1118341584023266,-0.137989791131512,-0.07973119253318946,-0.05798163174021255,0.004068557764827619,-0.04617743048709471,0.07143052675036515,0.2168461558380058,0.0045911834785939,-0.054266366389977186,-0.08018767654614564,-0.05691261481884495,0.06928332406929183,-0.02924422939135544,0.5840785850529785,-0.194280478306686,0.004208831102038454
