,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
ppg_tke_std,-0.030384682089590838,0.2878962434149529,0.07146649113785367,0.09955644079997036,0.11538291613839473,-0.053377510830307576,-0.08929152492470317,-0.008060380441273848,-0.10561084818167459,-0.14538007372636985,-0.11067519871668996,-0.002407129811388048,0.06354838979937148,0.08982024790676307,0.17818627493518438,-0.048374023056991136,-0.11439777285363152,-0.1713043972884419,0.004401885791274429,0.08210384131544943,-0.04629562578049928,0.10909537010142722,0.13338679416988525,-0.046491388628819796,0.02505981187468189,0.032631364698269494,0.062348919096313044,-0.10151455017961553,-0.15767232428037437,-0.18161931971967382,-0.027085281934165074,-0.20999863858089987,-0.22123706898007522,0.011006515691283192,-0.06979513259223177,-0.10859484946290257,0.02427628972009263,-0.0048762650110682065,-0.0024989493825264214,0.11412994597050362,0.07149979906465048,-0.42117806851837947,0.18100666513233715,0.05819683286436601,0.19378081482087814,0.012154698222351629,-0.21440696537082793,-0.3420749384062048,-0.2293985886071035,0.010500031918847505,-0.18124374085133058,-0.013420147033543835
ppg_tke_p95_abs,-0.06314952837985954,0.230096139671447,-0.026029573000156982,0.18328811659166527,-0.1604260486548324,-0.004203503009456113,0.02000953739887656,-0.08862060871370277,0.2019513687108651,0.16666309507108418,-0.08208354237188642,0.2352272629474377,-0.1786596958797804,0.02161577366939027,-0.2348811943368266,-0.05833253277393449,0.05422374365049033,0.3067035921195616,0.17436087089295518,-0.03371491829809679,-0.021043105209255376,0.17479890343701288,0.0023454654151118075,0.10580531153539144,0.029345878235843215,-0.17186902794635722,0.0008802403920114971,-0.09116281616185286,-0.14048820842281898,0.012738970973862923,0.008088269115242814,-0.20194748831132617,-0.20738595565795323,-0.13882614299308133,0.12384179774549216,-0.01967611542988179,0.08672045723718885,0.12737712014775923,-0.030650743316228555,0.28098989230584936,-0.03824628005257745,-0.1445808300154253,-0.10348654925044243,0.11034174223103488,-0.1495692623776119,-0.0689822874380636,0.3126177799532909,0.08946770340106824,-0.09417500856204553,0.0801015629047555,0.0761721845534083,-0.04634805419487795
ppg_dx_kurtosis,0.07616877291663712,0.2605176107759327,0.10386533454531438,0.027876539436900674,0.2529215850634767,0.006638583516924496,0.0363073136900353,0.0665969077196208,-0.04210065872224733,-0.09046042602914299,0.049628116981282444,-0.06299769854837659,-0.07683788134306647,-0.011276057262766093,0.0427980888118758,0.03363037591918272,-0.035512522479462,-0.015611211393585817,-0.004526519595047462,-0.08811846550388697,0.03737060759002044,-0.00968956417073974,-0.11448328445779327,0.1292490426604474,0.04616213399143343,-0.15523983761384322,0.0377128702267932,-0.041543974466844324,0.011037863559650016,0.25320373119661466,0.0695377295033616,0.033380152898152424,0.05679039915396707,-0.19123377850027679,0.22011478785024222,-0.1645308493267088,0.09839831789052032,0.034825557250175554,0.06566490447497249,-0.19291578686730856,-0.15758769827640629,-0.05262694566856231,0.1387103683065545,0.1423193882758192,-0.06313491880534329,0.2909191540067483,-0.09921942828927605,0.2156264704009025,0.18791853437514933,0.4482227520510783,-0.24940542283697092,-0.03526031074533408
ppg_ddx_mean,-0.01724249770484728,-0.002143959432010652,-0.02522300060948065,0.01911752062840376,-0.1828606232118888,0.315356060687748,-0.32361539371823816,-0.41608342101497675,-0.04782395153913312,-0.11694666602234652,0.012645944545441101,-0.058824413698774836,-0.03202688182788667,0.11159391985615286,0.2946812964480608,0.49815335979941444,0.2053864757147263,0.1406388810901948,0.051723912329942265,-0.03643602337899912,-0.009351475269731221,0.04210726382377481,-0.2249902553941094,0.07506758239889971,-0.0442990490645178,0.06119807473714953,0.14032985441470114,-0.1594801113159578,0.0845037212224014,0.14629305159629624,0.02073868247119904,-0.05518556969579949,-0.010783711183787585,0.037703654891931275,-0.040484008322523884,-0.013372741966211993,0.035893550684483105,0.023275260964893116,0.005118703708830229,-0.015387804678841648,0.04854641695486367,-0.01926698229544499,-0.007776002028758111,0.027314738055991297,0.056136002085918735,-0.014063858782358857,-0.0003677021372443662,-0.015123788279500068,0.013386385184498112,-0.014957192405687172,0.0012450771331948135,-0.0004894389821142597
ppg_ddx_p95_abs,-0.11784949814881995,0.21310544660788974,-0.07927458470440026,0.12142562378264549,-0.20574912445810106,-0.0273635705299974,0.13675413438960157,-0.01701759279777593,0.19500916536365379,0.09871381349327801,-0.035938784912050714,0.11602953075891626,-0.08385954287524222,-0.027552613083933558,-0.2227683577028044,0.04901267659676306,0.08213521034357833,0.1230724854518721,0.11264680197349836,-0.1295014293198289,-0.09645460788295503,0.02012810115088766,-0.051755419100541294,-0.0003853683644208447,0.013739081921585475,0.023928846273637283,-0.03131400209328232,-0.10702369918367563,0.0015910801902142002,0.04698838909819035,0.06573795984549913,0.011831464292609839,0.01728034595196655,0.1390095278720608,-0.06282113373077707,-0.04585365426599078,-0.06241542374444953,-0.01993275455688094,0.24377367465576918,-0.1245715094930992,0.036250752475461875,0.3199458886338764,0.36247652696798494,-0.21856421275382037,-0.07086046030560915,0.06571595170241532,-0.45576585813107334,-0.159229829579764,-0.09353067788562759,-0.06286720631004754,-0.091691544473961,0.01923143171230668
ppg_ddx_kurtosis,0.06962175922031023,0.22933115882802807,0.08959453654251438,-0.021318261363737948,0.3123153028883496,0.010595514147363047,0.06798762401405024,0.11676192917491225,-0.0315013797154165,-0.048337034152470995,0.15874184693783971,-0.02164453587534587,-0.060929593210549526,-0.044032136921809684,-0.047754077625971225,0.0681335292014848,0.02858964259637009,0.04399486474487868,-0.015140313599561132,-0.17624809169701594,0.24926866897423733,0.018160002883123555,-0.2053875814252506,0.10116648642143913,-0.060448388087630305,-0.25851202354271696,-0.11183106822395336,0.11105559359313202,0.4641398556363491,0.09487702041802092,-0.10971088586344183,-0.2395186723823728,-0.026567284616585408,0.13170702670182416,0.022392201257729165,0.11471331253253039,0.04903207778203044,-0.15092797063344104,0.056003975483145015,0.09244081215929373,0.010739271893395103,0.0520506143132526,0.07633696083694043,-0.02538038352273728,0.17745042596023736,-0.2412646710891333,0.08474489991415957,-0.11938196702428716,-0.13045419072499576,-0.15353090477472464,0.090573072625402,0.02676756904006202
ppg_hjorth_mobility,-0.18631081606389,0.02333613327536169,0.14409505837152814,0.03486754947819151,0.17018320824830113,0.09114655342555779,0.1403943542686076,0.18319214862739683,0.05079897740336515,-0.04682815294725612,-0.10025941195949273,0.022049223593841538,0.1494232960247475,-0.05204272998581455,0.021119873772434572,0.0530790089158617,-0.08163763729619145,-0.011668049634749073,0.32659317109997565,-0.20271787079441334,-0.021218285662652908,0.217127551262612,-0.14961926099301032,-0.033610359221050656,-0.12320136627865956,0.23336875753592326,-0.1470067107604085,-0.19960306825463714,-0.017961019607895423,-0.056323954811948074,0.11258807580709704,-0.13738351786851666,0.02736981143929604,0.304058251574838,-0.3745606947050634,0.049242309483605806,0.10476664313501458,0.056241833122566184,-0.23277429628128424,-0.08555947717436979,-0.055564578165264,0.02657591826106742,-0.1444205117423506,-0.002810610925531358,-0.01732991348585062,0.21508462917943447,0.11577484017350345,0.056609704338710945,0.09416218010107028,0.08538987794486295,0.03456255700143687,0.007867621398562813
ppg_hjorth_complexity,-0.191614628448077,0.015082379490393634,-0.18726399366629817,-0.02695471651545173,0.16641055214411016,-0.036089800621268014,-0.008897709734199387,-0.04343229200460249,-0.020998219531840914,0.013871779176307183,0.24146294585081582,0.08511281890264373,0.03206747870839929,-0.0036709486935984637,-0.04754925087676187,0.09791199915695525,0.062312594760255524,0.0990494873393913,0.03650434083004157,0.09960767516889657,0.11553130284212214,-0.10789000937936538,-0.03815104858413578,0.008079172893172244,0.07502907405061064,-0.1255920402986736,0.04244153850974451,0.41283671004483513,-0.06932930315888272,0.08005389614845063,0.25289229058433554,-0.06335161691533168,-0.032746667253537004,0.07435804120051784,-0.3673240576549859,-0.23410368061502052,-0.4194493844192142,0.08831399441136627,0.027546015504983958,0.11966248046475039,0.079938767922859,-0.05226875818686898,-0.11620106681585074,0.19583700812391125,-0.10778293829547876,0.11858553223654822,-0.0605655901530537,-0.036199934178635686,0.006614248729824523,0.005032484933190529,-0.0775969933516707,-0.00887102684231092
ppg_perm_entropy_o3,-0.1879581651781933,-0.08322896241329043,0.04566386780937378,0.07065345884858391,0.06724791678613339,0.06178928818930288,0.1815852588425539,0.028417454245323662,0.0396178485023277,-0.08007061621453086,-0.24300807843596076,0.17666159070630197,-0.2068000497565972,-0.07306204524001716,-0.004075214498532986,0.1298494551328489,-0.08358429698581041,-0.0007487392023237671,-0.335679042098438,0.04187158111020406,-0.022511708813961084,0.007121306599266609,0.16867444865564651,-0.21763230511130682,-0.19238125315815155,-0.40221404898723345,0.3544837906869467,-0.2673365796075323,0.16817936414455095,0.025941717975286993,0.16941434227365684,0.09920019241112837,0.17959720477274185,0.07124806235641315,-0.09381444573050252,0.03170304237864266,-0.046839849613082796,-0.011810449079043354,-0.03672871555104049,-0.027594637521028063,-0.013360587193181006,-0.06225050675306995,-0.11083059960326806,0.0012389079302515815,-0.0321012980978153,0.05917786733297749,0.02901049821555337,-0.0796497519442365,-0.06296446107731526,0.010575503427242089,0.018026816044273364,0.008693322453200453
ppg_sample_entropy_m2,-0.15308238233948224,-0.1420865003234887,-0.033484250913737815,0.047969544384009875,-0.12895113730582294,0.06739953510546193,0.2288898658866457,0.07164621770555646,0.040851552558553564,-0.20576962845227248,-0.10772850710415867,-0.06394462760618588,0.3502008239648571,0.1131753877507535,0.025337652377535352,0.019914933948766866,-0.1041895824797478,-0.0039000022834625274,0.12538850264192725,0.17407666178978798,0.3718856901102707,0.1818463654399441,0.046399279528096984,0.3449282908096525,0.15348294950088415,-0.13331600155110507,0.21503951158468812,-0.07776480683079519,-0.09696057002758104,0.07946980002924735,0.03759088641111882,0.014598630521514,-0.17945340977028365,-0.16258858374713178,-0.06556135137145935,0.12178785404764395,-0.1159663487344944,-0.2230983133259635,0.11455253292836164,-0.059332245512156226,-0.15329288794000967,0.09238465743885219,0.05696864900335724,-0.07390478339771721,0.06886225317179415,-0.09416102502414968,0.024039093177609886,0.043531184454581616,0.02234956405789959,-0.0014875592912453328,0.013084509323719934,-0.05085642280614905
ppg_dom_bpm,-0.11243773370637246,-0.09064307842382739,0.21840819232313152,0.15397368565888236,0.10285533485597444,0.08937974255460568,-0.06880497797164466,-0.07400443997601713,-0.08946739614291534,0.3571219520636965,-0.12750505892244118,-0.23702114598208288,-0.015959708136566515,0.29708606134340965,-0.05334615991643721,-0.07593496567246627,0.14138706893799147,0.02718927432222805,-0.013307567683887092,-0.042097532654543746,-0.007495285196847112,-0.0017804009075700206,0.2237548049672588,0.232475938881323,0.18874438995182588,-0.016824360633561908,-0.07255287839622784,0.03645696502422793,0.21216625788203336,-0.19576138108213684,0.4599956773608884,0.11758273293343874,-0.046605009509736776,0.1870403110234572,0.11710409271297736,-0.08947901494499871,0.08007073270110693,-0.021771893562351943,0.06169179701216795,-0.10023073213537634,0.02475279956734122,-0.015663623407964955,0.024897164749741352,0.06888918914764984,0.06352778205805301,0.016687204415225493,0.06058834604321228,-0.029174459735907442,-0.01560473293334294,-0.01814340083664323,0.022169910046527935,0.001626262300027187
ppg_bp_0p5_1,-0.04276091309070395,0.2371389202696644,0.025256156311528905,0.19770465905085471,-0.04914485361534923,-0.15726999897382632,-0.16546559482138962,-0.1807187730869987,0.10560253169018995,0.011924872511929687,-0.12179602560656054,0.29994488213734294,0.1134896304217823,0.022226412216407747,0.012784024889049651,-0.044563084511556994,0.0766000032987996,0.006914942999737331,0.0854312117030528,0.2647403280170105,0.2039541521180632,0.15292912999607888,0.18850561246834863,0.010344186055649407,-0.05350385296921011,0.0002119597812470786,-0.19571728571097013,0.23744914703391687,0.14543407462457564,0.21335005072145638,-0.10196889816219068,0.2885827430304595,0.20894615763245233,0.02372182001413419,-0.03483460014028183,0.10366604864204707,0.08074214472724855,-0.04163767752504607,-0.24211700777234538,-0.18338923297111678,0.11345881351565434,-0.054271674956808576,-0.09542763375047679,-0.07454206321916328,0.175810141072541,0.041017322623246893,-0.035056636752124046,-0.06913070694681031,0.0436799379080625,0.10280871228708827,0.01593149090590669,0.055522277367202125
ppg_bp_2_3,-0.03970154185270098,0.22641504480081143,0.08420493835882852,0.10124778679033229,-0.051762141766086914,-0.17071915404574825,-0.2304192614093018,-0.05865141440856321,-0.1613283863049673,-0.12283780433296426,-0.1760776624248787,0.11807667579812753,0.3815004415584146,0.022163688321678744,-0.02842486542380113,0.08024551470602101,0.12482842608211711,-0.3012903175307755,-0.1745742369911003,0.02432327209107074,0.0018341086421468783,-0.012647475993762453,0.06938217305387737,-0.18942816168659507,0.02746930007275905,-0.049790663970746774,-0.0949071998427859,-0.030265054858626156,0.10383389092959561,-0.05269819629278452,0.0010622614752697213,-0.10544168093059647,-0.028498236467612514,0.1113045754106704,-0.03101194413475808,-0.11058750867625991,-0.0032760895078506776,0.033118181984588796,0.22995156349160914,0.1606481579889526,-0.18718506497059192,0.23563468730481088,0.08002878465082046,0.025666406023459987,-0.3034494984829221,0.007689606402389804,0.16733311995995626,0.22994325125435272,0.01885971941953283,-0.05316220900001742,0.054792523080051836,-0.054663196141760184
ppg_bp_ratio_1_2__0p5_3,-0.1724582135523414,-0.05930182665422155,0.19293363083685977,0.049762403985129156,0.030683115019782013,0.09355348154204042,-0.07846749476242564,0.010698404010073843,-0.14151323825372186,0.1273503310595114,-0.10016531934966666,-0.13734210747503897,-0.005640850505985049,0.19505455851392237,0.09095237391274737,-0.2327516859382389,0.14517825747856408,0.12786055050590475,0.14418286011230902,-0.3314124060340197,0.09132560119073047,-0.20417355869416925,0.2407882806299218,-0.16370956346062457,0.17159305651923512,-0.09438649387174423,0.07188288035772766,-0.06109363484126046,-0.0370864710964723,0.31969284200086806,-0.40732255726144617,-0.025855941512520936,0.09730832195500744,-0.07620499420062213,-0.19402934679430833,-0.030366982467144005,-0.07774156363481996,-0.010937440086575545,-0.026241845531158985,0.14835494343220987,-0.0773711071048748,-0.0072790629411382535,-0.08796034451787334,-0.10429643655234286,-0.039596316944318505,0.017571701545813764,-0.1168408716292293,0.01472496266843288,-0.0342924238304486,-0.0035088632763651817,-0.02891886875464883,-0.0039080793032877925
ppg_bp_ratio_2_3__0p5_3,-0.15488134235887405,-0.014953862949810295,0.26107303498855916,0.053396974840621364,-0.020237644155918263,-0.03801091772252395,-0.05824645247465398,0.0934741769693134,-0.11263657853735662,-0.08357069415573691,0.10622704483333391,-0.0928064273253789,0.03926415288938374,0.11621279113022331,-0.21813823566391266,-0.0051969054763837865,-0.0069751112723921834,0.07754349696289946,-0.14573145688966643,0.25157425399730343,-0.4604512551936537,0.2178400814511807,-0.10140672475046957,0.3119314806694547,-0.030866895179082622,0.06876634193661174,0.0697651947374181,0.08585162992390115,0.09644865792497709,0.0645730328077003,-0.1071906007079184,-0.1180843109589679,0.3435527386742305,-0.1708916063394626,-0.12474721038498145,0.05637712592085439,-0.046283192581150545,0.1684776131841335,-0.012221283820893896,0.11239922177284808,-0.21454885802045676,0.028272556525365852,-0.022024385568266934,-0.012062437423070949,0.05895257492019995,-0.026774946814015613,-0.06793862998861916,-0.07574772533112925,-0.039533852056245426,-0.03394860817960033,0.00962847601193309,0.001052066525428913
ppg_bp_ratio_3_5__total,-0.14131255315650593,-0.0577122035827323,0.24396549578181842,0.16825922537213264,0.07592118200144679,-0.0015117375166867765,0.017964364657873676,0.05846169058495412,0.18924708516834646,-0.04284310106345414,0.20480353054498202,0.011197860900518934,-0.030547091379691863,-0.06347285428176931,0.04023926756724683,0.25690279429692336,0.14750834258003936,-0.02485865427414456,0.10176599912198854,0.024557797515913166,0.20225434708386392,-0.26510753339512627,0.29119170117838983,-0.024496359454108066,-0.33652033981566054,0.11702720745476967,-0.017714842279740295,0.09511021267524444,-0.06580766737523736,-0.1741881211654306,0.05511956811139951,-0.057505450501909264,-0.0892323208681359,-0.175119656085286,0.10571275942602087,0.2405918745210263,0.12161636878785743,0.19157306080240835,0.000564296507752094,0.07390340416030804,-0.2553286471924949,0.08149701947959412,-0.05279597803298068,0.12676679815633599,0.0012205075573244878,-0.04857757377350136,-0.23927313450401294,0.0346137747148847,-0.03188058288824203,-0.03211169929950729,-0.03043201366132653,-0.026625719577250656
