,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_p95_p5,0.27393856291334784,-0.17867333601985483,-0.18287009787954303,0.039817540871137515,-0.0713556834687326,0.018092833348117968,0.010890533102125387,0.06371948509846048,0.06830338019445556,0.01564752276015977,0.07147256666273666,0.6233481329333582,0.046406324592450914,0.3758114840963458,0.1850372442911906,-0.0999931268458404,-0.026716298567523514,-0.07781505568668756,-0.28818158823478995,0.18780666006874466,0.37028809713893646
ppg_p99_p1,0.313597548979284,0.09088925209393872,0.020832032741498523,-0.025784472907493396,0.006002337028567234,-0.048434025761402225,-0.04174668693939448,0.11324034204789368,-0.0576757176511402,-0.12142361972793732,0.13304770852251854,0.10853710137946393,-0.06379261504596478,-0.08684152077069299,-0.2738257326631802,-0.23037712118673007,-0.025200198606655035,0.47738301417831297,-0.43080022751612806,0.12026844838009812,-0.5094591842985062
ppg_shape_factor,0.2712316908127988,-0.021550799902427854,0.040447014992192214,-0.19795792993445846,0.03263687924528446,-0.16494050867939417,-0.16688037018059032,0.2048461078362112,0.04767869694190364,0.6601409887933107,-0.25060096451281627,-0.19707347117878635,0.10462086895017539,0.09453201493723408,0.21109719140850486,0.3311856472849179,-0.028820878614388826,0.23329834063100627,-0.12636836838844376,-0.0446763438466679,0.003800366405848115
ppg_clearance_factor,0.29209133799784776,0.11134979535939431,0.1431401426732763,-0.13969439351709256,0.026412191696775736,-0.1378300805280934,-0.13121145383059754,0.09653733063372337,0.1227956765281432,0.21119994208786763,-0.14397963810449702,-0.1043249624809517,0.060856292927352645,0.05311359773260554,-0.25031645642338174,-0.5761291492232606,0.19901666947537536,-0.47040398347168083,0.17067290950970693,0.17892136433361341,-0.040178080873295226
ppg_mean_cross_rate,0.006949886522570027,-0.008116631730627804,0.3922881965446979,0.5104073124095189,-0.5137063873601766,-0.14340766491867563,0.1537621538683786,-0.17678028541417712,-0.36062055160965156,0.3069435132294593,-0.025743470697091736,0.11231311321933052,-0.0056557140095555795,-0.05223353435690177,-0.05237198441464756,-0.04866097703689595,-0.02639519510111022,0.0018236384998465657,2.649236522853093e-05,0.002755015377070946,-0.0029923113033713676
ppg_tke_std,0.22641777953499584,0.2882792352867434,0.1256258499983888,-0.11736917328564062,0.05753960047454823,-0.16518893900637766,-0.07857617090526456,0.10712419920355908,-0.25794242579244064,-0.01725519465438592,0.6092289001740034,-0.10915430429633782,-0.26603123857430816,0.04850259883709182,0.16398335455127433,0.19338300952030282,-0.30242759456716245,-0.3267385535845808,-0.01062001997674268,0.04642265074441228,-0.004136710346168391
ppg_tke_p95_abs,0.25590839060905834,-0.14851665644542458,0.06125383415912026,0.22728177414731782,-0.2737382349445131,0.001059210071013505,0.009922600937155544,0.08993390065539596,0.5533227013883172,-0.203434641210646,-0.09405292809517474,-0.2440287431023608,-0.01561960072011789,-0.09634027536639397,0.11257265219397963,-0.07957462154665326,-0.5697273252493561,-0.027180663180550103,0.007825350046704854,-0.059355678497896226,0.02311316729167535
ppg_dx_mean,-0.018059884356184344,0.010880256197195404,0.16183347895635217,-0.3929538654348698,-0.5075060111934936,0.5950423318960494,-0.4410920943185463,-0.02328990231457781,-0.0808525601895803,-0.03126502055377086,-0.0014807209204797337,0.04849643139086517,-0.025240110512577168,-0.029343492914939158,-0.002460222768292415,0.026199075975494108,-0.0027123421616599493,-0.011489406090219135,-0.002281625490964047,0.0018942623829863727,0.001679953264029774
ppg_ddx_mean,0.001317584047778879,-0.051865287444037816,0.0304506539873938,-0.5989224534863262,-0.3506612859792114,-0.19976385177110878,0.6824623853934608,0.03193346026454583,-0.013068069719755585,-0.06967378274230933,-0.03349155610717167,-0.002687565243375956,0.03189780559124019,-0.024980135278273023,0.0051489268581602935,-0.0038237387885867924,-0.012420289716670162,0.001778408813648958,-0.004222657908589848,-0.003564143883729906,0.0021525158436260716
ppg_dx_kurtosis,0.22456340723847795,0.2717575077960293,0.09581059255239718,0.04446148156518598,0.1681141979165187,0.3118500322852461,0.20521622483568117,-0.16745693016411564,-0.009834087561038974,0.022851028016908952,0.13851349382256373,0.025701461828145127,0.7699204888763429,-0.18444156933407424,0.07958825091612048,0.05805890498640431,-0.0801175651991209,-0.060098464007859204,-0.028063738215377523,0.031356801738906356,-0.011225407979800504
